method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,comm_mb,accuracy_per_mb,worst_accuracy_per_mb,loss_per_mb,reached_threshold
cvar_0,41,253,True,250,0.07295674063110104,0.07425449131987989,0.9731411774953206,0.90625,1630979680,1630.97968,0.0005966605160251418,0.000555647633819693,4.5527539202622005e-05,True
cvar_0,43,234,True,223,0.07777579701505602,0.0805422868191575,0.9729757567246755,0.8947368264198303,1508495040,1508.49504,0.0006449976505886791,0.0005931320970202396,5.3392477060552676e-05,True
cvar_0,47,229,True,213,0.07683064914308488,0.07880488839000463,0.9723864972591401,0.9054054021835327,1476262240,1476.26224,0.0006586814123614921,0.0006133093278762807,5.338136155945073e-05,True
cvar_0.5,7,186,True,156,0.08845594238179426,0.08955973683235546,0.965354053179423,0.790123462677002,1199060160,1199.06016,0.0008050922592402895,0.0006589523103469653,7.469161249787122e-05,True
cvar_0.5,11,203,True,173,0.08227290889869134,0.09113642033189535,0.9693930427233378,0.8815789222717285,1308651680,1308.65168,0.0007407571147758263,0.00067365436941305,6.964146512377942e-05,True
cvar_0.5,19,273,True,243,0.0724780666641891,0.0803029946439589,0.9746334652105967,0.8947368264198303,1759910880,1759.91088,0.0005537970565933411,0.0005083989403030626,4.562901198949285e-05,True
cvar_0.5,23,200,True,170,0.08009682460688054,0.08198442032250265,0.9724171539147695,0.8947368264198303,1289312000,1289.312,0.0007542139946845834,0.0006939645535136805,6.35877276582415e-05,True
cvar_0.5,29,181,True,163,0.09086053677213689,0.0913155696199586,0.9660334507624309,0.8395061492919922,1166827360,1166.82736,0.0008279146374853868,0.0007194776006040792,7.825970897696348e-05,True
cvar_0.5,31,310,True,295,0.06956164537308117,0.07082025966762255,0.9767966787020366,0.9078947305679321,1998433600,1998.4336,0.0004887811527498519,0.00045430317553104194,3.5437884785175023e-05,True
cvar_0.5,37,257,True,227,0.0717691564001143,0.0747515766415745,0.9716623544692993,0.8947368264198303,1656765920,1656.76592,0.0005864813747914969,0.0005400502361974167,4.5118972897254245e-05,True
cvar_0.5,41,254,True,240,0.07358290531362097,0.07557997235174602,0.9726153910160065,0.9130434989929199,1637426240,1637.42624,0.0005939903534317408,0.0005576089332689086,4.6157787450472286e-05,True
cvar_0.5,43,170,True,163,0.0903046514838934,0.12291498907531301,0.9604382793108622,0.8421052694320679,1095915200,1095.9152,0.0008763801061531607,0.0007684036770655867,0.00011215739053104932,True
cvar_0.5,47,229,True,199,0.0797276715748012,0.08197669624350964,0.9718860685825348,0.8815789222717285,1476262240,1476.26224,0.0006583424287696574,0.0005971695938465028,5.552990113972545e-05,True
cvar_0.75,7,186,True,156,0.08819641652517021,0.08970799741024772,0.9657398323218028,0.790123462677002,1199060160,1199.06016,0.000805413993841479,0.0006589523103469653,7.481525982003081e-05,True
cvar_0.75,11,203,True,173,0.08262368406479557,0.09148674151704957,0.9689544479052226,0.8684210777282715,1308651680,1308.65168,0.0007404219646172178,0.0006635998646547961,6.99091614027115e-05,True
cvar_0.75,19,273,True,243,0.0726566053306063,0.08024485659940789,0.9750839153925578,0.8947368264198303,1759910880,1759.91088,0.0005540530071571339,0.0005083989403030626,4.559597733687963e-05,True
cvar_0.75,23,200,True,198,0.07990980995818972,0.08173416679104169,0.9715941071510314,0.8947368264198303,1289312000,1289.312,0.0007535756334781895,0.0006939645535136805,6.339362915341026e-05,True
cvar_0.75,29,234,True,226,0.08099238882617404,0.08233231875735024,0.9679326315720876,0.9012345671653748,1508495040,1508.49504,0.0006416545006154529,0.0005974395296423214,5.4579111348851526e-05,True
cvar_0.75,31,187,True,166,0.08553109667263925,0.08677602068831523,0.967532604932785,0.8815789222717285,1205506720,1205.50672,0.0008025941198675234,0.0007312932459403698,7.198302526950263e-05,True
cvar_0.75,37,226,True,216,0.07605753138195723,0.20252996725030242,0.9362803936004639,0.8024691343307495,1456922560,1456.92256,0.0006426425256263888,0.0005507973837200719,0.0001390121704548953,True
cvar_0.75,41,320,True,305,0.06893268603210648,0.07145482106910397,0.9766005237897237,0.9166666865348816,2062899200,2062.8992,0.0004734116547186231,0.00044435844782667115,3.463805748196712e-05,True
cvar_0.75,43,253,True,239,0.07455618508004894,0.07566377857389549,0.9734761516253153,0.9078947305679321,1630979680,1630.97968,0.0005968658981853872,0.0005566560648799329,4.6391613274970714e-05,True
cvar_0.75,47,229,True,213,0.07803585414464274,0.08089372897520661,0.9715948502222697,0.8815789222717285,1476262240,1476.26224,0.0006581451614059231,0.0005971695938465028,5.479631381427639e-05,True
cvar_0.9,7,186,True,156,0.08718975187900166,0.08922262163832784,0.9653504769007365,0.790123462677002,1199060160,1199.06016,0.0008050892766721033,0.0006589523103469653,7.441046297320715e-05,True
cvar_0.9,11,203,True,198,0.0830085022530208,0.092228793236427,0.9688483436902364,0.8684210777282715,1308651680,1308.65168,0.0007403408855825076,0.0006635998646547961,7.047619671907425e-05,True
cvar_0.9,19,261,True,243,0.07293007541447878,0.08060736629801492,0.9726323008537292,0.8815789222717285,1682552160,1682.55216,0.0005780696277812447,0.0005239533984323722,4.7907796390701446e-05,True
cvar_0.9,23,197,True,170,0.0839693528910478,0.08706717933528126,0.9682336409886678,0.8765432238578796,1269972320,1269.97232,0.000762405310525719,0.0006902065580908721,6.855832836992954e-05,True
cvar_0.9,29,315,True,285,0.07076370306313037,0.07155774886875103,0.9764333724975586,0.9078947305679321,2030666400,2030.6664,0.00048084381191197066,0.0004470920140146762,3.523855462854511e-05,True
cvar_0.9,31,243,True,237,0.07955264031576613,0.08135454735408226,0.9701708873112996,0.8947368264198303,1566514080,1566.51408,0.0006193183321475793,0.0005711642415750456,5.193349258251306e-05,True
cvar_0.9,37,257,True,227,0.07293577317614108,0.07499007247388363,0.9739461024602254,0.9135802388191223,1656765920,1656.76592,0.0005878598121213318,0.0005514238479863965,4.52629255398274e-05,True
cvar_0.9,41,289,True,289,0.07080955380030597,0.07080955380030597,0.9744825224081676,0.9270833134651184,1863055840,1863.05584,0.0005230559930013517,0.000497614346044034,3.800720959620082e-05,True
cvar_0.9,43,334,True,310,0.06911708568610872,0.06922159025950046,0.9737870275974274,0.9014084339141846,2153151040,2153.15104,0.0004522613646265277,0.00041864616887916256,3.214897096095054e-05,True
cvar_0.9,47,131,True,126,0.10123290320237478,0.10464005732598404,0.9628090103467305,0.8024691343307495,844499360,844.49936,0.001140094422743826,0.0009502306009216508,0.00012390779943987647,True
cvar_0.95,7,186,True,156,0.08378263403040667,0.08514102017506957,0.9668081839879353,0.8148148059844971,1199060160,1199.06016,0.0008063049847206459,0.0006795445576179406,7.100646240724866e-05,True
cvar_0.95,11,203,True,198,0.0830085022530208,0.092228793236427,0.9688483436902364,0.8684210777282715,1308651680,1308.65168,0.0007403408855825076,0.0006635998646547961,7.047619671907425e-05,True
cvar_0.95,19,261,True,243,0.07293007541447878,0.08060736629801492,0.9726323008537292,0.8815789222717285,1682552160,1682.55216,0.0005780696277812447,0.0005239533984323722,4.7907796390701446e-05,True
cvar_0.95,23,197,True,170,0.0839693528910478,0.08706717933528126,0.9682336409886678,0.8765432238578796,1269972320,1269.97232,0.000762405310525719,0.0006902065580908721,6.855832836992954e-05,True
cvar_0.95,29,315,True,285,0.07076370306313037,0.07155774886875103,0.9764333724975586,0.9078947305679321,2030666400,2030.6664,0.00048084381191197066,0.0004470920140146762,3.523855462854511e-05,True
cvar_0.95,31,243,True,237,0.07955264031576613,0.08135454735408226,0.9701708873112996,0.8947368264198303,1566514080,1566.51408,0.0006193183321475793,0.0005711642415750456,5.193349258251306e-05,True
cvar_0.95,37,257,True,227,0.07293577317614108,0.07499007247388363,0.9739461024602254,0.9135802388191223,1656765920,1656.76592,0.0005878598121213318,0.0005514238479863965,4.52629255398274e-05,True
cvar_0.95,41,289,True,289,0.07080955380030597,0.07080955380030597,0.9744825224081676,0.9270833134651184,1863055840,1863.05584,0.0005230559930013517,0.000497614346044034,3.800720959620082e-05,True
cvar_0.95,43,334,True,310,0.06911708568610872,0.06922159025950046,0.9737870275974274,0.9014084339141846,2153151040,2153.15104,0.0004522613646265277,0.00041864616887916256,3.214897096095054e-05,True
cvar_0.95,47,131,True,126,0.10123290320237478,0.10464005732598404,0.9628090103467305,0.8024691343307495,844499360,844.49936,0.001140094422743826,0.0009502306009216508,0.00012390779943987647,True
centralized,7,62,True,32,0.05331541542351867,0.06254993845310916,0.986645923058192,0.948051929473877,0,0.0,0.0,0.0,0.0,True
centralized,11,60,True,30,0.0479722786132091,0.05643110109716266,0.9861108958721161,0.9514563083648682,0,0.0,0.0,0.0,0.0,True
centralized,19,50,True,41,0.05085467538544132,0.055695862564607526,0.9860574026902517,0.9347826242446899,0,0.0,0.0,0.0,0.0,True
centralized,23,55,True,25,0.05231141431334739,0.06632979481122069,0.9867627779642741,0.9417475461959839,0,0.0,0.0,0.0,0.0,True
centralized,29,51,True,26,0.05399596725086061,0.07486208091577282,0.9804786602656047,0.9375,0,0.0,0.0,0.0,0.0,True
