baseline,method,metric,n,mean_diff,cohens_d
logreg_fedavg,fedprox_mu_0p01,final_worst_client_recall,10,0.039999999999999994,0.4140393356011268
logreg_fedavg,fedprox_mu_0p01,total_comm_until_stop,10,586130680.0,2.9937941650399855
logreg_fedavg,fedprox_mu_0p01,stopped_round,10,-29.0,-1.9434366744980205
logreg_fedavg,fedprox_mu_0p1,final_loss,10,-0.0879428899122609,-3.840699618833472
logreg_fedavg,fedprox_mu_0p1,final_accuracy,10,-0.0058777901861402524,-0.5650073707044886
logreg_fedavg,fedprox_mu_0p1,final_auroc,10,0.018260016685781165,8.947729337340773
logreg_fedavg,fedprox_mu_0p1,final_auprc,10,0.06442682968533082,5.629307255008605
logreg_fedavg,fedprox_mu_0p1,final_worst_client_accuracy,10,-0.0056725025177001955,-0.3644478876987571
logreg_fedavg,fedprox_mu_0p1,final_worst_client_recall,10,0.04999999999999999,0.9486832980325137
logreg_fedavg,fedprox_mu_0p1,total_comm_until_stop,10,421345464.0,3.499514869619782
logreg_fedavg,fedprox_mu_0p1,stopped_round,10,-42.6,-3.439761874056897
logreg_fedavg,logreg_cvar_0.5,final_loss,10,0.002074421528312892,0.1280649493890299
logreg_fedavg,logreg_cvar_0.5,final_accuracy,10,-0.0018976165188683391,-0.5061243553798054
logreg_fedavg,logreg_cvar_0.5,final_auroc,10,-0.0010439580200309107,-0.4825933832030267
logreg_fedavg,logreg_cvar_0.5,final_auprc,10,-0.0007065662240780424,-0.05305032148640446
logreg_fedavg,logreg_cvar_0.5,final_worst_client_accuracy,10,-0.000333935022354126,-0.039922216981082684
logreg_fedavg,logreg_cvar_0.5,final_worst_client_recall,10,0.009999999999999992,0.11420804814272771
logreg_fedavg,logreg_cvar_0.5,total_comm_until_stop,10,-73584.0,-0.26361858225729107
logreg_fedavg,logreg_cvar_0.5,stopped_round,10,-0.9,-0.26361858225721385
logreg_fedavg,logreg_cvar_0.75,final_loss,10,0.004434566116995287,0.39215277599403175
logreg_fedavg,logreg_cvar_0.75,final_accuracy,10,-0.003082848919762493,-0.5803813482982056
logreg_fedavg,logreg_cvar_0.75,final_auroc,10,-0.0027620473515651335,-0.48861414282399085
logreg_fedavg,logreg_cvar_0.75,final_auprc,10,-0.006827199921170713,-0.43903180583431095
logreg_fedavg,logreg_cvar_0.75,final_worst_client_accuracy,10,-0.0076246440410614015,-0.40830916452650745
logreg_fedavg,logreg_cvar_0.75,final_worst_client_recall,10,-0.02,-0.31622776601183794
logreg_fedavg,logreg_cvar_0.75,total_comm_until_stop,10,-179872.0,-0.4453769815984038
logreg_fedavg,logreg_cvar_0.75,stopped_round,10,-2.2,-0.4453769815983137
logreg_fedavg,logreg_cvar_0.9,final_loss,10,0.004232389976580942,0.3903231468794903
logreg_fedavg,logreg_cvar_0.9,final_accuracy,10,-0.003115931484434331,-0.5789131928466662
logreg_fedavg,logreg_cvar_0.9,final_auroc,10,-0.0027240462767723294,-0.4926715439082785
logreg_fedavg,logreg_cvar_0.9,final_auprc,10,-0.006667911753519174,-0.4339136294317106
logreg_fedavg,logreg_cvar_0.9,final_worst_client_accuracy,10,-0.007155841588973999,-0.43836265652609246
logreg_fedavg,logreg_cvar_0.9,final_worst_client_recall,10,-0.02,-0.31622776601183794
logreg_fedavg,logreg_cvar_0.9,total_comm_until_stop,10,-179872.0,-0.4453769815984038
logreg_fedavg,logreg_cvar_0.9,stopped_round,10,-2.2,-0.4453769815983137
logreg_fedavg,logreg_cvar_0.95,final_loss,10,0.004232389976580942,0.3903231468794903
logreg_fedavg,logreg_cvar_0.95,final_accuracy,10,-0.003115931484434331,-0.5789131928466662
logreg_fedavg,logreg_cvar_0.95,final_auroc,10,-0.0027240462767723294,-0.4926715439082785
logreg_fedavg,logreg_cvar_0.95,final_auprc,10,-0.006667911753519174,-0.4339136294317106
logreg_fedavg,logreg_cvar_0.95,final_worst_client_accuracy,10,-0.007155841588973999,-0.43836265652609246
logreg_fedavg,logreg_cvar_0.95,final_worst_client_recall,10,-0.02,-0.31622776601183794
logreg_fedavg,logreg_cvar_0.95,total_comm_until_stop,10,-179872.0,-0.4453769815984038
logreg_fedavg,logreg_cvar_0.95,stopped_round,10,-2.2,-0.4453769815983137
logreg_fedavg,logreg_fedprox_mu_0p0,final_loss,10,-0.0015792897178067145,-0.2897409275941713
logreg_fedavg,logreg_fedprox_mu_0p0,final_accuracy,10,-0.00020748509301080632,-0.2556966304680145
logreg_fedavg,logreg_fedprox_mu_0p0,final_auroc,10,0.00035429238538441376,0.34474143925953704
logreg_fedavg,logreg_fedprox_mu_0p0,final_auprc,10,0.0019529478932965084,0.39338861160775646
logreg_fedavg,logreg_fedprox_mu_0p0,final_worst_client_accuracy,10,0.0005334854125976562,0.17050501116527678
logreg_fedavg,logreg_fedprox_mu_0p0,final_worst_client_recall,10,-0.009999999999999998,-0.316227766006838
logreg_fedavg,logreg_fedprox_mu_0p0,total_comm_until_stop,10,0.0,0.0
logreg_fedavg,logreg_fedprox_mu_0p0,stopped_round,10,0.0,0.0
logreg_fedavg,logreg_fedprox_mu_0p001,final_loss,10,-0.0017874960270192974,-0.3269757886604336
logreg_fedavg,logreg_fedprox_mu_0p001,final_accuracy,10,-0.00023243096139694553,-0.3707465030677279
logreg_fedavg,logreg_fedprox_mu_0p001,final_auroc,10,0.000366588417841951,0.3613002865242286
logreg_fedavg,logreg_fedprox_mu_0p001,final_auprc,10,0.0020399435090661553,0.4184228173920906
logreg_fedavg,logreg_fedprox_mu_0p001,final_worst_client_accuracy,10,0.0005585968494415284,0.18396539934170986
logreg_fedavg,logreg_fedprox_mu_0p001,final_worst_client_recall,10,-0.02,-0.4743416490140069
logreg_fedavg,logreg_fedprox_mu_0p001,total_comm_until_stop,10,0.0,0.0
logreg_fedavg,logreg_fedprox_mu_0p001,stopped_round,10,0.0,0.0
logreg_fedavg,logreg_fedprox_mu_0p01,final_loss,10,-0.004265027410454214,-0.7215548141293744
logreg_fedavg,logreg_fedprox_mu_0p01,final_accuracy,10,0.0003354211648305294,0.4621861362994998
logreg_fedavg,logreg_fedprox_mu_0p01,final_auroc,10,0.0008253985591382684,0.7497449737148507
logreg_fedavg,logreg_fedprox_mu_0p01,final_auprc,10,0.0029471018900709576,0.5762725452401362
logreg_fedavg,logreg_fedprox_mu_0p01,final_worst_client_accuracy,10,0.0007714569568634033,0.2529787116670507
logreg_fedavg,logreg_fedprox_mu_0p01,final_worst_client_recall,10,0.0,0.0
logreg_fedavg,logreg_fedprox_mu_0p01,total_comm_until_stop,10,0.0,0.0
logreg_fedavg,logreg_fedprox_mu_0p01,stopped_round,10,0.0,0.0
logreg_fedavg,logreg_fedprox_mu_0p1,final_loss,10,-0.02833015082610978,-2.4738378931609755
logreg_fedavg,logreg_fedprox_mu_0p1,final_accuracy,10,0.0053551541434394,2.056395764167073
logreg_fedavg,logreg_fedprox_mu_0p1,final_auroc,10,0.004219590445029675,1.8977016042880817
logreg_fedavg,logreg_fedprox_mu_0p1,final_auprc,10,0.011569920207055096,1.0318432915646163
logreg_fedavg,logreg_fedprox_mu_0p1,final_worst_client_accuracy,10,0.007642495632171631,0.7131515865520459
logreg_fedavg,logreg_fedprox_mu_0p1,final_worst_client_recall,10,0.0,0.0
logreg_fedavg,logreg_fedprox_mu_0p1,total_comm_until_stop,10,0.0,0.0
logreg_fedavg,logreg_fedprox_mu_0p1,stopped_round,10,0.0,0.0
