run_type,seed,alpha,max_rounds,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop
cvar_0.5,29,0.5,1000,181,True,163,0.09086053677213689,0.0913155696199586,0.9660334507624309,0.8395061492919922,1166827360
cvar_0.5,31,0.5,1000,310,True,295,0.06956164537308117,0.07082025966762255,0.9767966787020366,0.9078947305679321,1998433600
cvar_0.5,37,0.5,1000,257,True,227,0.0717691564001143,0.0747515766415745,0.9716623544692993,0.8947368264198303,1656765920
cvar_0.5,41,0.5,1000,254,True,240,0.07358290531362097,0.07557997235174602,0.9726153910160065,0.9130434989929199,1637426240
cvar_0.5,43,0.5,1000,170,True,163,0.0903046514838934,0.12291498907531301,0.9604382793108622,0.8421052694320679,1095915200
cvar_0.5,47,0.5,1000,229,True,199,0.0797276715748012,0.08197669624350964,0.9718860685825348,0.8815789222717285,1476262240
cvar_0.75,7,0.75,1000,186,True,156,0.08819641652517021,0.08970799741024772,0.9657398323218028,0.790123462677002,1199060160
cvar_0.75,11,0.75,1000,203,True,173,0.08262368406479557,0.09148674151704957,0.9689544479052226,0.8684210777282715,1308651680
cvar_0.75,19,0.75,1000,273,True,243,0.0726566053306063,0.08024485659940789,0.9750839153925578,0.8947368264198303,1759910880
cvar_0.75,23,0.75,1000,200,True,198,0.07990980995818972,0.08173416679104169,0.9715941071510314,0.8947368264198303,1289312000
cvar_0.75,29,0.75,1000,234,True,226,0.08099238882617404,0.08233231875735024,0.9679326315720876,0.9012345671653748,1508495040
cvar_0.75,31,0.75,1000,187,True,166,0.08553109667263925,0.08677602068831523,0.967532604932785,0.8815789222717285,1205506720
cvar_0.75,37,0.75,1000,226,True,216,0.07605753138195723,0.20252996725030242,0.9362803936004639,0.8024691343307495,1456922560
cvar_0.75,41,0.75,1000,320,True,305,0.06893268603210648,0.07145482106910397,0.9766005237897237,0.9166666865348816,2062899200
cvar_0.75,43,0.75,1000,253,True,239,0.07455618508004894,0.07566377857389549,0.9734761516253153,0.9078947305679321,1630979680
cvar_0.75,47,0.75,1000,229,True,213,0.07803585414464274,0.08089372897520661,0.9715948502222697,0.8815789222717285,1476262240
cvar_0.9,7,0.9,1000,186,True,156,0.08718975187900166,0.08922262163832784,0.9653504769007365,0.790123462677002,1199060160
cvar_0.9,11,0.9,1000,203,True,198,0.0830085022530208,0.092228793236427,0.9688483436902364,0.8684210777282715,1308651680
cvar_0.9,19,0.9,1000,261,True,243,0.07293007541447878,0.08060736629801492,0.9726323008537292,0.8815789222717285,1682552160
cvar_0.9,23,0.9,1000,197,True,170,0.0839693528910478,0.08706717933528126,0.9682336409886678,0.8765432238578796,1269972320
cvar_0.9,29,0.9,1000,315,True,285,0.07076370306313037,0.07155774886875103,0.9764333724975586,0.9078947305679321,2030666400
cvar_0.9,31,0.9,1000,243,True,237,0.07955264031576613,0.08135454735408226,0.9701708873112996,0.8947368264198303,1566514080
cvar_0.9,37,0.9,1000,257,True,227,0.07293577317614108,0.07499007247388363,0.9739461024602254,0.9135802388191223,1656765920
cvar_0.9,41,0.9,1000,289,True,289,0.07080955380030597,0.07080955380030597,0.9744825224081676,0.9270833134651184,1863055840
cvar_0.9,43,0.9,1000,334,True,310,0.06911708568610872,0.06922159025950046,0.9737870275974274,0.9014084339141846,2153151040
cvar_0.9,47,0.9,1000,131,True,126,0.10123290320237478,0.10464005732598404,0.9628090103467305,0.8024691343307495,844499360
cvar_0.95,7,0.95,1000,186,True,156,0.08378263403040667,0.08514102017506957,0.9668081839879353,0.8148148059844971,1199060160
cvar_0.95,11,0.95,1000,203,True,198,0.0830085022530208,0.092228793236427,0.9688483436902364,0.8684210777282715,1308651680
cvar_0.95,19,0.95,1000,261,True,243,0.07293007541447878,0.08060736629801492,0.9726323008537292,0.8815789222717285,1682552160
cvar_0.95,23,0.95,1000,197,True,170,0.0839693528910478,0.08706717933528126,0.9682336409886678,0.8765432238578796,1269972320
cvar_0.95,29,0.95,1000,315,True,285,0.07076370306313037,0.07155774886875103,0.9764333724975586,0.9078947305679321,2030666400
cvar_0.95,31,0.95,1000,243,True,237,0.07955264031576613,0.08135454735408226,0.9701708873112996,0.8947368264198303,1566514080
cvar_0.95,37,0.95,1000,257,True,227,0.07293577317614108,0.07499007247388363,0.9739461024602254,0.9135802388191223,1656765920
cvar_0.95,41,0.95,1000,289,True,289,0.07080955380030597,0.07080955380030597,0.9744825224081676,0.9270833134651184,1863055840
cvar_0.95,43,0.95,1000,334,True,310,0.06911708568610872,0.06922159025950046,0.9737870275974274,0.9014084339141846,2153151040
cvar_0.95,47,0.95,1000,131,True,126,0.10123290320237478,0.10464005732598404,0.9628090103467305,0.8024691343307495,844499360
centralized,7,,1000,62,True,32,0.05331541542351867,0.06254993845310916,0.986645923058192,0.948051929473877,0
centralized,11,,1000,60,True,30,0.0479722786132091,0.05643110109716266,0.9861108958721161,0.9514563083648682,0
centralized,19,,1000,50,True,41,0.05085467538544132,0.055695862564607526,0.9860574026902517,0.9347826242446899,0
centralized,23,,1000,55,True,25,0.05231141431334739,0.06632979481122069,0.9867627779642741,0.9417475461959839,0
centralized,29,,1000,51,True,26,0.05399596725086061,0.07486208091577282,0.9804786602656047,0.9375,0
centralized,31,,1000,58,True,28,0.04882698211974154,0.06668893314248028,0.9820898413658142,0.9189189076423645,0
centralized,37,,1000,54,True,31,0.05047805863432586,0.06054522883399235,0.98469451268514,0.9350649118423462,0
centralized,41,,1000,57,True,27,0.051419941172935066,0.06172977606426381,0.9841931124528249,0.9417475461959839,0
centralized,43,,1000,57,True,27,0.04877793498453684,0.056892280998969605,0.9849681695302327,0.9459459185600281,0
centralized,47,,1000,60,True,30,0.049816669523715974,0.05939685492194258,0.9850304285685222,0.9514563083648682,0
grid_best_validated,7,,1000,186,True,186,0.09616192101190488,0.09616192101190488,0.9703339656194051,0.8395061492919922,1199060160
grid_best_validated,11,,1000,269,True,239,0.07875311810833713,0.07914819206732014,0.9749895552794139,0.9189189076423645,1734124640
grid_best_validated,19,,1000,322,True,292,0.07535911669644217,0.07712404798561086,0.9804457048575084,0.9239130616188049,2075792320
grid_best_validated,23,,1000,200,True,172,0.08717379986774176,0.0908826975307117,0.9709790865580241,0.8947368264198303,1289312000
grid_best_validated,29,,1000,180,True,150,0.09910830596151451,0.10672556096687913,0.9663043975830078,0.7654321193695068,1160380800
grid_best_validated,31,,1000,299,True,293,0.0788226525260446,0.0989404796603291,0.9719080905119578,0.8684210777282715,1927521440
grid_best_validated,37,,1000,238,True,216,0.07827112912200392,0.08381791294862827,0.9735478401184082,0.9078947305679321,1534281280
grid_best_validated,41,,1000,253,True,223,0.08203024241762856,0.08898515266676744,0.9715322136878968,0.8918918967247009,1630979680
grid_best_validated,43,,1000,170,True,163,0.0912473578704521,0.09457445106624315,0.970736289024353,0.8947368264198303,1095915200
grid_best_validated,47,,1000,306,True,276,0.07216068960260599,0.07988665377100308,0.975026418765386,0.9210526347160339,1972647360
ga_best_validated,7,,1000,192,True,162,0.08249856885522604,0.09627484213560819,0.9741816600163777,0.8947368264198303,495095808
ga_best_validated,11,,1000,225,True,195,0.08304463754175231,0.08683556102138633,0.9772605478763581,0.9166666865348816,580190400
ga_best_validated,19,,1000,66,True,36,0.11939489794895053,0.14023565098177643,0.9592032512029012,0.790123462677002,170189184
ga_best_validated,23,,1000,100,True,70,0.10718045936276516,0.12760554559839268,0.9621158758799235,0.8421052694320679,257862400
ga_best_validated,29,,1000,99,True,69,0.1017369570210576,0.11390794216422365,0.9662152469158173,0.8395061492919922,255283776
ga_best_validated,31,,1000,92,True,75,0.1236563260667026,0.13354094370733946,0.9596748570601146,0.8289473652839661,237233408
ga_best_validated,37,,1000,64,True,34,0.14385546914612254,0.19464993389944235,0.9431920886039734,0.5925925970077515,165031936
ga_best_validated,41,,1000,207,True,177,0.07535673774546012,0.08497785858150261,0.9742185572783152,0.8947368264198303,533775168
ga_best_validated,43,,1000,151,True,126,0.09705785906407982,0.10248467853525653,0.9675341626008351,0.8815789222717285,389372224
ga_best_validated,47,,1000,151,True,121,0.08581171095138415,0.09745615660795011,0.9701490461826324,0.8918918967247009,389372224
