method,seed,mu,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,dense_cost,sparse_cost,beta
logreg_cvar_0.9,41,,68,True,53,0.3724249493744638,0.39285450759861207,0.8449812465243869,0.7658720016479492,5559680,0.8900947673632988,0.5825578074470383,0.7999904982512787,0.7851318944844125,0.8148491020181448,0.4,0.36083905716715836,5559680.0,5559680.0,
logreg_cvar_0.95,41,,68,True,53,0.3724249493744638,0.39285450759861207,0.8449812465243869,0.7658720016479492,5559680,0.8900947673632988,0.5825578074470383,0.7999904982512787,0.7851318944844125,0.8148491020181448,0.4,0.36083905716715836,5559680.0,5559680.0,
logreg_fedprox_mu_0p0,41,0.0,76,True,61,0.3715898518760999,0.3742237662275632,0.8488397532039218,0.7696361541748047,6213760,0.8941824877442981,0.616446139972775,0.8049736326472983,0.7904076738609113,0.8195395914336852,0.4,0.1981730774859578,6213760.0,6213760.0,
logreg_fedprox_mu_0p001,41,0.001,76,True,61,0.3721173389090432,0.3742979226840867,0.8481527103318108,0.7693852186203003,6213760,0.8942581021278145,0.6164750069910881,0.8048122805218147,0.7908872901678657,0.8187372708757638,0.3,0.22096213919943813,6213760.0,6213760.0,
logreg_fedprox_mu_0p01,41,0.01,76,True,61,0.3693135231733322,0.3718690185083283,0.8490413824717203,0.7698870897293091,6213760,0.894700925058879,0.6175423344612728,0.8046791672383256,0.7894484412470024,0.8199098932296488,0.4,0.22622428480403203,6213760.0,6213760.0,
logreg_fedprox_mu_0p1,41,0.1,80,False,77,0.3390151874886619,0.35248566418886185,0.8562433189815946,0.771141767501831,6540800,0.8959707701344942,0.6043060447692395,0.80891383911941,0.7889688249400479,0.8288588532987718,0.4,0.2908797635113425,6540800.0,6540800.0,
logreg_fedavg,43,,80,False,78,0.3700653231806225,0.37257659766409135,0.850033700466156,0.7598494291305542,6540800,0.8960162216459013,0.6037885025063294,0.8091596857674017,0.7995203836930456,0.8187989878417578,0.5,0.3274750956146087,6540800.0,6540800.0,
logreg_cvar_0.5,43,,78,True,63,0.3682316243648529,0.37260781559679246,0.8474864297442966,0.7488945126533508,6377280,0.8947775310579162,0.6177818588111244,0.8058120509702218,0.7942446043165468,0.8173794976238968,0.5,0.216828438612899,6377280.0,6377280.0,
logreg_cvar_0.75,43,,78,True,63,0.36968545781241524,0.3713301494717598,0.8490649925337898,0.7533164620399475,6377280,0.8960816830705034,0.6194254833832231,0.8101947547683016,0.8004796163069544,0.8199098932296488,0.5,0.22431166275993858,6377280.0,6377280.0,
logreg_cvar_0.9,43,,78,True,63,0.36968545781241524,0.3713301494717598,0.8490649925337898,0.7533164620399475,6377280,0.8960816830705034,0.6194254833832231,0.8101947547683016,0.8004796163069544,0.8199098932296488,0.5,0.22431166275993858,6377280.0,6377280.0,
logreg_cvar_0.95,43,,78,True,63,0.36968545781241524,0.3713301494717598,0.8490649925337898,0.7533164620399475,6377280,0.8960816830705034,0.6194254833832231,0.8101947547683016,0.8004796163069544,0.8199098932296488,0.5,0.22431166275993858,6377280.0,6377280.0,
logreg_fedprox_mu_0p0,43,0.0,78,True,78,0.3707583099603653,0.3707583099603653,0.8492849204275343,0.7533164620399475,6377280,0.8956965070417282,0.6189462813755965,0.8101330378023077,0.8004796163069544,0.8197864592976609,0.4,0.21758743137750428,6377280.0,6377280.0,
logreg_fedprox_mu_0p001,43,0.001,78,True,78,0.3704272202319569,0.3704272202319569,0.8494327863057455,0.7539482116699219,6377280,0.8956805819924694,0.6187790575918618,0.8104654214047758,0.8009592326139089,0.8199716101956428,0.4,0.21842949868485295,6377280.0,6377280.0,
logreg_fedprox_mu_0p01,43,0.01,78,True,63,0.3673408495055305,0.3683080772558848,0.8492904901504517,0.7539482116699219,6377280,0.8960678004532128,0.6198847722244812,0.8102943899277912,0.8,0.8205887798555823,0.5,0.21935072222531138,6377280.0,6377280.0,
logreg_fedprox_mu_0p1,43,0.1,78,True,63,0.3444153683053123,0.35562097364001805,0.8522502581278483,0.7552116513252258,6377280,0.8995718588987355,0.6271491750415366,0.8118205750156402,0.7990407673860911,0.8246003826451892,0.5,0.20585397468629604,6377280.0,6377280.0,
logreg_fedavg,47,,80,False,75,0.35530996405416065,0.3901967538727654,0.8462594416406419,0.7678795456886292,6540800,0.8931503639894971,0.5839672631268074,0.8064098619271589,0.7913669064748201,0.8214528173794976,0.4,0.25586868259049084,6540800.0,6540800.0,
logreg_cvar_0.5,47,,75,True,60,0.3597472392850452,0.3609968092706468,0.8510030441813998,0.7799246907234192,6132000,0.8950073194545642,0.603933587444026,0.8084695213649484,0.7856115107913669,0.8313275319385299,0.5,0.21501696188228697,6132000.0,6132000.0,
logreg_cvar_0.75,47,,80,False,75,0.3587263102332751,0.3886447308792008,0.846928596496582,0.7708908319473267,6540800,0.8915132215649441,0.5779627021713993,0.8040734973583806,0.7865707434052758,0.8215762513114855,0.4,0.26187051983104614,6540800.0,6540800.0,
logreg_cvar_0.9,47,,80,False,75,0.3593866295284695,0.3902808502316475,0.8464674154917399,0.7706398963928223,6540800,0.891465416816704,0.5781130485580682,0.8049330948128,0.7889688249400479,0.8208973646855521,0.4,0.2614335623059879,6540800.0,6540800.0,
logreg_cvar_0.95,47,,80,False,75,0.3593866295284695,0.3902808502316475,0.8464674154917399,0.7706398963928223,6540800,0.891465416816704,0.5781130485580682,0.8049330948128,0.7889688249400479,0.8208973646855521,0.4,0.2614335623059879,6540800.0,6540800.0,
logreg_fedprox_mu_0p0,47,0.0,80,False,75,0.35578178697162205,0.39073890530400807,0.8459578686290317,0.7678795456886292,6540800,0.8930159186851594,0.583752555510658,0.8058138713987151,0.7899280575539568,0.8216996852434735,0.4,0.2470778179601709,6540800.0,6540800.0,
logreg_fedprox_mu_0p001,47,0.001,80,False,75,0.3556331329875522,0.39081503616438973,0.8458065059449937,0.7673776745796204,6540800,0.8930814245104565,0.583796256385713,0.8056904374667272,0.7899280575539568,0.8214528173794976,0.4,0.2513105272172811,6540800.0,6540800.0,
logreg_fedprox_mu_0p01,47,0.01,80,False,75,0.3538959307803048,0.3874254831009441,0.8466792305310568,0.7686323523521423,6540800,0.8936289738806992,0.5851825348497722,0.8068489403996151,0.7908872901678657,0.8228105906313645,0.4,0.2640290027138632,6540800.0,6540800.0,
logreg_fedprox_mu_0p1,47,0.1,75,True,60,0.3382523175742891,0.3421860502825843,0.8570572071605258,0.7844416499137878,6132000,0.9002702818304513,0.6143753673626526,0.811555369664646,0.7856115107913669,0.837499228537925,0.4,0.2660280225335837,6132000.0,6132000.0,
dirichlet_beta_0p1_fedavg,7,,18,True,3,0.3912513678272565,1.7008498224114494,0.7232590097313126,0.004999999888241291,2943360,0.8653625458828373,0.3920705660158903,0.5057232049947971,0.011446409989594173,1.0,0.0,0.0,2943360.0,2943360.0,0.1
dirichlet_beta_0p1_fedprox,7,,18,True,3,0.38948709319035213,1.1855517051939386,0.732808326681455,0.03500000014901161,2943360,0.8791843268965314,0.4205576508807526,0.5283334504056966,0.05723204994797086,0.9994348508634223,0.0,0.0,2943360.0,2943360.0,0.1
dirichlet_beta_0p1_cvar_0.9,7,,18,True,3,0.3889738137523333,1.6920616742723118,0.7239772791042924,0.004999999888241291,2943360,0.8668122066724712,0.39676445580668207,0.5072840790842872,0.014568158168574402,1.0,0.0,0.0,2943360.0,2943360.0,0.1
dirichlet_beta_0p1_fedavg,11,,16,True,1,0.5310103753033806,1.9497161071528406,0.4706952931249843,0.0,2616320,0.8197790921901145,0.6530945796430697,0.5745605908182392,0.1507163323782235,0.9984048492582549,0.0,0.0,2616320.0,2616320.0,0.1
dirichlet_beta_0p1_fedprox,11,,16,True,1,0.5402886341599857,1.8940885108621681,0.47783776153536406,0.0,2616320,0.8168045702668472,0.6487537572081045,0.5744010757440647,0.1507163323782235,0.9980858191099059,0.0,0.0,2616320.0,2616320.0,0.1
dirichlet_beta_0p1_cvar_0.9,11,,16,True,1,0.541098861133351,1.9339920844444458,0.4714522668543984,0.0,2616320,0.820439639998702,0.6541441563236052,0.5745133304782115,0.1501432664756447,0.9988833944807785,0.0,0.0,2616320.0,2616320.0,0.1
dirichlet_beta_0p1_fedavg,19,,16,True,1,0.45513088894741877,2.2386689426161217,0.6575402628098216,0.1818181872367859,2616320,0.8386755110086407,0.5578898052444768,0.6037253916488553,0.21806702282661486,0.9893837604710957,0.0,0.0,2616320.0,2616320.0,0.1
dirichlet_beta_0p1_fedprox,19,,16,True,1,0.4482239069683211,1.8269319637412471,0.6769374875085694,0.24277456104755402,2616320,0.8498779252492703,0.5662628152145613,0.6330188605902762,0.2841185041282176,0.9819192170523348,0.0,0.0,2616320.0,2616320.0,0.1
dirichlet_beta_0p1_cvar_0.9,19,,16,True,1,0.4475412592291832,2.363614806290051,0.6482740225536483,0.16763006150722504,2616320,0.8331230242232509,0.5463263140251026,0.5903103813628022,0.1894123360854784,0.9912084266401261,0.0,0.0,2616320.0,2616320.0,0.1
dirichlet_beta_0p1_fedavg,23,,18,True,3,0.4111471020040058,1.0705600923503793,0.6559844662745794,0.0,2943360,0.8729534268286477,0.42245272183401433,0.571860956099162,0.14600840336134455,0.9977135088369794,0.0,0.0,2943360.0,2943360.0,0.1
