run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,mu,drift_mean_update_norm,drift_avg_update_norm,method
fedprox_mu_0p01,23,,11,0.3117609727713797,0.8470345603095161,0.7540777921676636,6058280,6058280,12116560,5 3 4 0 8,0.3117609727713797,11,0,False,0.911234204637771,0.6607393930232158,0.8295371183149758,0.8470023980815348,0.8120718385484169,0.5,0.29380282936141605,0.01,3.8423542976379395,2.2138748168945312,fedprox_mu_0p01
fedprox_mu_0p01,23,,12,0.32154912998278934,0.8440394534005059,0.7583438158035278,6058280,6058280,12116560,1 6 0 4 2,0.3117609727713797,11,1,False,0.9120760566144381,0.6610424687672172,0.830183326029419,0.8513189448441247,0.8090477072147133,0.5,0.30126057887503777,0.01,3.9553294658660887,2.1843740940093994,fedprox_mu_0p01
fedprox_mu_0p01,23,,13,0.31327467163403827,0.8531294597519768,0.767845869064331,6058280,6058280,12116560,4 5 0 2 7,0.3117609727713797,11,2,False,0.9113182995540248,0.6637114803134188,0.8297117906489473,0.8393285371702638,0.8200950441276307,0.5,0.33714981982040404,0.01,3.8722497463226317,2.153505563735962,fedprox_mu_0p01
fedprox_mu_0p01,23,,14,0.3193436629242367,0.8410922884941101,0.7558344006538391,6058280,6058280,12116560,8 4 6 3 7,0.3117609727713797,11,3,False,0.912981431185361,0.6686193695059037,0.8325866468461964,0.8599520383693046,0.8052212553230883,0.5,0.3385116458029374,0.01,4.18397536277771,2.2990732192993164,fedprox_mu_0p01
fedprox_mu_0p01,23,,15,0.3396259678734673,0.8397953576511807,0.7452948689460754,6058280,6058280,12116560,3 4 1 0 7,0.3117609727713797,11,4,False,0.9136368742443558,0.6700626091864269,0.8330503233036604,0.8661870503597122,0.7999135962476085,0.5,0.3495538757171218,0.01,4.156419372558593,2.0509965419769287,fedprox_mu_0p01
fedprox_mu_0p01,23,,16,0.3180704605248239,0.845639083120558,0.7637397050857544,6058280,6058280,12116560,1 7 8 2 4,0.3117609727713797,11,5,False,0.91247785330336,0.6632518680356678,0.830444313314392,0.8503597122302158,0.8105289143985681,0.5,0.32486883539021555,0.01,4.087194204330444,2.0464303493499756,fedprox_mu_0p01
fedprox_mu_0p01,23,,17,0.3160597210129102,0.8396194709671868,0.7585947513580322,6058280,6058280,12116560,2 1 3 7 6,0.3117609727713797,11,6,False,0.912874558712593,0.6659166559044526,0.8304953297129006,0.8594724220623501,0.8015182373634512,0.5,0.3743049099072253,0.01,4.092418241500854,2.0011277198791504,fedprox_mu_0p01
fedprox_mu_0p01,23,,18,0.31237846116224927,0.8467094302177429,0.7575909495353699,6058280,6058280,12116560,0 8 5 3 6,0.3117609727713797,11,7,False,0.9141875020627823,0.6727642707733038,0.8342909231215287,0.8594724220623501,0.8091094241807073,0.5,0.4040269500982838,0.01,4.062069320678711,2.322697162628174,fedprox_mu_0p01
fedprox_mu_0p01,23,,19,0.3264739049805535,0.8403224150339762,0.7553324699401855,6058280,6058280,12116560,0 2 6 1 8,0.3117609727713797,11,8,False,0.9128079872706167,0.6682376300490455,0.8291728550135267,0.8570743405275779,0.8012713694994754,0.5,0.4084122554192812,0.01,4.326474857330322,2.1827709674835205,fedprox_mu_0p01
fedprox_mu_0p01,23,,20,0.32105930729044807,0.8467520011795892,0.7628607153892517,6058280,6058280,12116560,3 0 4 8 7,0.3117609727713797,11,9,False,0.912978989147138,0.6682155319682203,0.8320824325542344,0.8522781774580336,0.8118866876504351,0.5,0.41168399424226976,0.01,4.340731000900268,2.1554980278015137,fedprox_mu_0p01
