run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,drift_mean_update_norm,drift_avg_update_norm,method,beta
dirichlet_beta_0p1_cvar_0.9,47,0.9,17,0.3395251829765345,0.8456041358019176,0.4000000059604645,81760,81760,163520,7 17 4 8 9 13 14 1 12 18,0.3285568015355813,14,3,False,0.8927265261286448,0.5381112681590458,0.7692564074865109,0.6298215313759356,0.9086912835970862,0.0,0.0,0.4628507673740387,0.2762235701084137,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,18,0.33836105647251796,0.8629217430164939,0.6000000238418579,81760,81760,163520,10 17 1 3 6 14 5 4 9 7,0.3285568015355813,14,4,False,0.8904191679331169,0.5373957757102346,0.7668695843251992,0.6194588370754174,0.9142803315749811,0.0,0.0,0.48023043423891065,0.24086186289787292,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,19,0.6004352797999194,0.7619633556980836,0.0,81760,81760,163520,4 2 16 3 14 7 10 13 0 6,0.3285568015355813,14,5,False,0.8681349391764016,0.5315980375538639,0.5939448346832255,0.19228554979850315,0.9956041195679477,0.0,0.0,0.32448743283748627,0.4843173027038574,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,20,0.4973985605848659,0.8325672086916471,0.6000000238418579,81760,81760,163520,18 16 2 9 12 11 7 8 1 3,0.3285568015355813,14,6,False,0.8810968934621374,0.49349622630501006,0.7997481777649361,0.8088658606793322,0.79063049485054,0.0,0.0,0.44479423612356184,0.6674429774284363,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,21,0.3544468967195012,0.8512739225437767,0.6000000238418579,81760,81760,163520,11 10 5 14 0 9 1 17 7 18,0.3285568015355813,14,7,False,0.8888226741096201,0.5360066528213816,0.7907264818769986,0.7046632124352331,0.8767897513187641,0.0,0.0,0.4627620279788971,0.40020570158958435,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,22,0.5121903147450403,0.7539429774409846,0.0,81760,81760,163520,8 17 0 6 13 10 4 16 12 18,0.3285568015355813,14,8,False,0.8832418871620624,0.5524894037118248,0.6310518464433174,0.27058146229130686,0.9915222305953278,0.0,0.0,0.36333195120096207,0.5558951497077942,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,23,0.37483048523580165,0.8229400311645708,0.4000000059604645,81760,81760,163520,15 12 2 3 14 8 11 9 17 7,0.3285568015355813,14,9,False,0.8890195288587978,0.5362443214077515,0.7748725704436314,0.6499712147380541,0.8997739261492087,0.0,0.0,0.4205993667244911,0.332271546125412,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,24,0.45910773796372506,0.8489499280327245,0.75309818983078,81760,81760,163520,17 11 9 13 12 10 3 18 15 1,0.3285568015355813,14,10,False,0.8924065693737827,0.5294742166454025,0.8113929767431569,0.8290155440414507,0.7937704094448631,0.0,0.0,0.4349320888519287,0.5056273341178894,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,25,0.36633819831829323,0.8441275734650461,0.6000000238418579,81760,81760,163520,3 16 9 12 5 8 14 1 11 17,0.3285568015355813,14,11,False,0.8955093183699139,0.5449895162045928,0.8054705772106625,0.7512953367875648,0.8596458176337604,0.0,0.0,0.49075924754142763,0.3643456697463989,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,26,0.3648634851714106,0.8156536597954599,0.4000000059604645,81760,81760,163520,13 11 1 17 9 18 0 6 10 4,0.3285568015355813,14,12,False,0.894241765397729,0.5524310617575668,0.7345709260611393,0.5210132412204951,0.9481286109017835,0.0,0.0,0.4443876355886459,0.42551425099372864,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,27,0.6562726018754276,0.7322287214429755,0.0,81760,81760,163520,8 6 9 17 7 13 10 4 14 12,0.3285568015355813,14,13,False,0.873122576915073,0.5459330171215336,0.5880044850344838,0.17789291882556132,0.9981160512434062,0.0,0.0,0.3973123475909233,0.48537972569465637,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,28,0.5065572844867251,0.8061320020964271,0.20000000298023224,81760,81760,163520,10 1 4 15 0 14 6 7 8 11,0.3285568015355813,14,14,False,0.8810638674174406,0.5374793298472373,0.6820602742127003,0.3926309729418538,0.9714895754835469,0.0,0.0,0.46522774547338486,0.38853973150253296,dirichlet_beta_0p1_cvar_0.9,0.1
dirichlet_beta_0p1_cvar_0.9,47,0.9,29,0.39502656695089844,0.814759296806235,0.4000000059604645,81760,81760,163520,8 9 3 17 1 2 6 5 7 12,0.3285568015355813,14,15,True,0.8845541798499694,0.5111719675849595,0.7549941453336857,0.5912492803684514,0.9187390102989199,0.0,0.0,0.5201688081026077,0.3074454665184021,dirichlet_beta_0p1_cvar_0.9,0.1
