run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,mu,drift_mean_update_norm,drift_avg_update_norm,method,beta
dirichlet_beta_infinity_fedprox,37,,11,0.5664307574431101,0.7723112384478251,0.7405582666397095,81760,81760,163520,0 3 4 2 18 5 20 16 21 7,0.5595039784908294,10,1,False,0.8984537605982609,0.5583604085240619,0.8155067651118875,0.871462829736211,0.759550700487564,0.8115942028985508,0.45113542407174667,0.01,0.5087345510721206,0.1735372096300125,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,12,0.5421597470839818,0.7798563460508983,0.7491803169250488,81760,81760,163520,26 16 9 15 0 18 5 17 27 4,0.5421597470839818,12,0,False,0.8974565357896983,0.5429553314134506,0.8153772926853851,0.8613908872901679,0.7693636980806023,0.7971014492753623,0.4461892407608608,0.01,0.502741527557373,0.18375322222709656,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,13,0.5451186845699946,0.7803507506847381,0.7491803169250488,81760,81760,163520,6 3 22 5 13 18 16 17 21 0,0.5421597470839818,12,1,False,0.8991928989672546,0.544338674184689,0.8179534654076406,0.8666666666666667,0.7692402641486145,0.8082191780821918,0.4490088187177921,0.01,0.5046576976776123,0.17548063397407532,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,14,0.541467206676801,0.7825375338395436,0.7459016442298889,81760,81760,163520,11 8 2 18 1 7 5 12 14 10,0.541467206676801,14,0,False,0.8988958731182061,0.5483556046492548,0.8170983080227172,0.8618705035971223,0.7723261124483121,0.8,0.453622532858272,0.01,0.5149229228496551,0.1764436960220337,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,15,0.528931446870168,0.7883875747521718,0.7491803169250488,81760,81760,163520,2 6 29 9 1 28 7 22 14 18,0.528931446870168,15,0,False,0.8985035041768473,0.5438613118879658,0.8168480213052295,0.8537170263788969,0.7799790162315621,0.7681159420289855,0.43813616619810797,0.01,0.5198990613222122,0.17092016339302063,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,16,0.5222149739662806,0.7973550677299499,0.757377028465271,81760,81760,163520,22 15 11 24 17 8 19 1 25 6,0.5222149739662806,16,0,False,0.898828221259319,0.5418818452201742,0.8183566681185694,0.8455635491606714,0.7911497870764673,0.7391304347826086,0.4433637473752694,0.01,0.5278474271297455,0.1727282851934433,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,17,0.5340013325214386,0.7979555288950603,0.7491803169250488,81760,81760,163520,23 27 9 20 0 8 18 16 25 24,0.5222149739662806,16,1,False,0.8968949854003113,0.5331787133068878,0.8176513630791349,0.8431654676258993,0.7921372585323706,0.75,0.43456828781737095,0.01,0.5206571370363235,0.18399269878864288,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,18,0.5049798140923182,0.8047903458277385,0.7639344334602356,81760,81760,163520,18 14 7 10 24 19 11 6 20 23,0.5049798140923182,18,0,False,0.8974734968551729,0.5444104205507342,0.8152401833393497,0.8287769784172662,0.8017033882614331,0.7317073170731707,0.4331937197813598,0.01,0.5240076899528503,0.18278010189533234,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,19,0.5482571810483933,0.8005278706550598,0.7704917788505554,81760,81760,163520,29 3 27 11 15 2 14 19 22 17,0.5049798140923182,18,1,False,0.8938205332789868,0.5259482643480924,0.8165943157342299,0.837410071942446,0.7957785595260137,0.7560975609756098,0.42445826190900104,0.01,0.5337775498628616,0.19489501416683197,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,20,0.532217088341713,0.8041370312372843,0.7622950673103333,81760,81760,163520,5 20 25 18 22 2 9 28 10 1,0.5049798140923182,18,2,False,0.8968687445895903,0.5337649839187725,0.8177951769301093,0.8354916067146283,0.8000987471455904,0.7317073170731707,0.4371914502762652,0.01,0.5219726592302323,0.17709805071353912,dirichlet_beta_infinity_fedprox,infinity
