precision,recall,threshold
0.11653904197641272,1.0,0.0008111235802061856
0.11654555617663499,1.0,0.0008140815189108253
0.11655207110514841,1.0,0.0008168817148543894
0.11655858676207513,1.0,0.000818803149741143
0.11656510314753732,1.0,0.0008201641612686217
0.11657162026165717,1.0,0.0008225466008298099
0.11657813810455689,1.0,0.0008239856688305736
0.11658465667635876,1.0,0.0008261852199211717
0.11659117597718503,1.0,0.0008271087426692247
0.11659769600715804,1.0,0.0008286700467579067
0.11660421676640009,1.0,0.0008330473210662603
0.11661073825503356,1.0,0.0008368463022634387
0.11661726047318083,1.0,0.0008375662728212774
0.11662378342096431,1.0,0.0008375978213734925
0.11663030709850646,1.0,0.0008437783690169454
0.11663683150592974,1.0,0.0008443977567367256
0.11664335664335665,1.0,0.0008458400843665004
0.1166498825109097,1.0,0.0008472935878671706
0.11665640910871146,1.0,0.0008480229880660772
0.11666293643688451,1.0,0.0008498142706230283
0.11666946449555145,1.0,0.0008542999275960028
0.11667599328483493,1.0,0.0008559120469726622
0.11668252280485758,1.0,0.0008588024065829813
0.1166890530557421,1.0,0.0008590348879806697
0.11669558403761124,1.0,0.0008628757786937058
0.11670211575058771,1.0,0.0008663437329232693
0.11670864819479429,1.0,0.0008715803269296885
0.11671518137035379,1.0,0.0008722133934497833
0.11672171527738902,1.0,0.0008738362812437117
0.11672824991602285,1.0,0.0008841041126288474
0.11673478528637814,1.0,0.0008860556408762932
0.11674132138857783,1.0,0.0008866150747053325
0.11674785822274483,1.0,0.0008873364422470331
0.11675439578900212,1.0,0.0008899281383492053
0.1167609340874727,1.0,0.0008901131222955883
0.11676747311827956,1.0,0.0008911092882044613
0.11677401288154579,1.0,0.0008913244819268584
0.11678055337739442,1.0,0.0008946714224293828
0.11678709460594858,1.0,0.0008960364502854645
0.1167936365673314,1.0,0.0008973506046459079
0.11680017926166601,1.0,0.0009018221753649414
0.11680672268907563,1.0,0.0009020070428960025
0.11681326684968346,1.0,0.0009039764408953488
0.11681981174361274,1.0,0.0009058776195161045
0.11682635737098672,1.0,0.0009066772181540728
0.11683290373192873,1.0,0.0009114905260503292
0.11683945082656207,1.0,0.0009141998016275465
0.1168459986550101,1.0,0.0009148473618552089
0.11685254721739617,1.0,0.0009193316800519824
0.11685909651384374,1.0,0.0009201535722240806
0.1168656465444762,1.0,0.0009213677840307355
0.11687219730941704,1.0,0.0009221951477229595
0.11687874880878973,1.0,0.000923624902497977
0.1168853010427178,1.0,0.0009316497598774731
0.11689185401132478,1.0,0.0009317532530985773
0.11689840771473424,1.0,0.0009322877158410847
0.11690496215306981,1.0,0.0009330316097475588
0.11691151732645509,1.0,0.0009350187028758228
0.11691807323501374,1.0,0.0009367557941004634
0.11692462987886945,1.0,0.000939608144108206
0.11693118725814593,1.0,0.0009416743414476514
0.1169377453729669,1.0,0.0009441421134397388
0.11694430422345617,1.0,0.0009460120345465839
0.11695086380973749,1.0,0.000948841858189553
0.1169574241319347,1.0,0.0009532319381833076
0.11696398519017166,1.0,0.000953915121499449
0.11697054698457222,1.0,0.0009557646699249744
0.11697710951526032,1.0,0.0009585123625583947
0.11698367278235987,1.0,0.000966006307862699
0.11699023678599484,1.0,0.0009674320463091135
0.1169968015262892,1.0,0.0009682046948000789
0.117003367003367,1.0,0.0009705921984277666
0.11700993321735226,1.0,0.0009713646722957492
0.11701650016836906,1.0,0.0009734575287438929
0.1170230678565415,1.0,0.0009746379218995571
0.11702963628199371,1.0,0.0009746733121573925
0.11703620544484984,1.0,0.0009762969566509128
0.11704277534523408,1.0,0.0009770208271220326
0.11704934598327064,1.0,0.0009817002573981881
0.11705591735908376,1.0,0.000981863820925355
0.11706248947279771,1.0,0.0009847201872617006
0.11706906232453677,1.0,0.000991400214843452
0.1170756359144253,1.0,0.000993107445538044
0.1170822102425876,1.0,0.0009939816081896424
0.11708878530914808,1.0,0.0009962471667677164
0.11709536111423116,1.0,0.0010031326673924923
0.11710193765796124,1.0,0.0010096413316205144
0.11710851494046282,1.0,0.0010106094414368272
0.11711509296186036,1.0,0.0010114137548953295
0.1171216717222784,1.0,0.0010120063088834286
0.11712825122184146,1.0,0.0010144265834242105
0.11713483146067416,1.0,0.001015230780467391
0.11714141243890107,1.0,0.0010186054278165102
0.11714799415664681,1.0,0.0010216074297204614
0.11715457661403607,1.0,0.0010217024246230721
0.11716115981119353,1.0,0.001022032811306417
0.11716774374824389,1.0,0.0010273257503286004
0.1171743284253119,1.0,0.0010282554430887103
0.11718091384252234,1.0,0.001031475025229156
0.1171875,1.0,0.0010367336217314005
0.11719408689786971,1.0,0.00104128522798419
0.11720067453625632,1.0,0.0010418896563351154
0.11720726291528473,1.0,0.0010421675397083163
0.11721385203507984,1.0,0.0010426135268062353
0.11722044189576657,1.0,0.0010432651033625007
0.11722703249746992,1.0,0.0010443361243233085
0.11723362384031487,1.0,0.0010463888756930828
0.11724021592442645,1.0,0.0010467012180015445
0.11724680874992971,1.0,0.0010518688941374421
0.11725340231694972,1.0,0.0010528123239055276
0.11725999662561161,1.0,0.0010537576163187623
0.11726659167604049,1.0,0.0010540668154135346
0.11727318746836154,1.0,0.0010618960950523615
0.11727978400269996,1.0,0.0010661910055205226
0.11728638127918097,1.0,0.0010665770387277007
0.1172929792979298,1.0,0.0010681785643100739
0.11729957805907174,1.0,0.0010689450427889824
0.11730617756273208,1.0,0.0010704374872148037
0.11731277780903618,1.0,0.0010722465813159943
0.11731937879810939,1.0,0.0010722852312028408
0.11732598053007709,1.0,0.0010743805905804038
0.11733258300506472,1.0,0.001080483547411859
0.11733918622319771,1.0,0.001082092523574829
0.11734579018460153,1.0,0.001082945498637855
0.1173523948894017,1.0,0.0010899356566369534
0.11735900033772374,1.0,0.0010901202913373709
0.11736560652969322,1.0,0.0010906882816925645
0.1173722134654357,1.0,0.0010936283506453037
0.11737882114507685,1.0,0.0011043509002774954
0.11738542956874226,1.0,0.0011048507876694202
0.11739203873655762,1.0,0.0011067590676248074
0.11739864864864864,1.0,0.0011096340604126453
0.11740525930514105,1.0,0.0011101783020421863
0.1174118707061606,1.0,0.0011102256830781698
0.11741848285183308,1.0,0.0011103992583230138
0.1174250957422843,1.0,0.0011112589854747057
0.1174317093776401,1.0,0.001112128491513431
0.11743832375802636,1.0,0.001112228725105524
0.11744493888356898,1.0,0.001113786594942212
0.11745155475439387,1.0,0.0011147133773192763
0.117458171370627,1.0,0.0011156932450830936
0.11746478873239437,1.0,0.0011159090790897608
0.11747140683982196,1.0,0.0011179454158991575
0.11747802569303584,1.0,0.0011270709801465273
0.11748464529216206,1.0,0.001127495663240552
0.11749126563732672,1.0,0.0011278281453996897
0.11749788672865596,1.0,0.0011295914882794023
