method,beta,seed,mu,k_clients,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
fedavg,8.0,13,0.0,9,49,True,34,0.3384135100576613,0.4067096942000919,0.872096578280131,0.8560885787010193,593711440,0.8876796951625885,0.6395531940179482,0.8005831587276004,0.7050359712230215,0.8961303462321792,0.6775956284153005,0.49164347310021533
fedprox_0p1,8.0,13,0.1,9,25,True,10,0.3274458116955227,0.3376884394221836,0.8180049128002591,0.8090967535972595,302914000,0.9142327907716412,0.6653691942910204,0.8308190551798517,0.8479616306954436,0.8136764796642597,0.8140703517587939,0.515002794510497
fedavg,9.0,7,0.0,9,50,True,35,0.3541956709490882,0.38109642929501003,0.8787088195482889,0.8308605551719666,605828000,0.8916944208010743,0.6318901325295743,0.7892488601231586,0.6700239808153478,0.9084737394309695,0.6257309941520468,0.5238718043226677
fedprox_0p1,9.0,7,0.1,9,27,True,12,0.3228082491291894,0.3432833751042684,0.8207447263929579,0.808769166469574,327147120,0.9148547853070996,0.6671620376926787,0.8342733848470196,0.8522781774580336,0.8162685922360057,0.8241469816272966,0.5479955141097417
fedavg,9.0,11,0.0,9,32,True,17,0.3558456069893307,0.480147338575787,0.8231068982018365,0.8114217519760132,387729920,0.9074248766141687,0.6633299081158052,0.8248416116209051,0.826378896882494,0.8233043263593162,0.7605633802816901,0.5588480465559627
fedprox_0p1,9.0,11,0.1,9,41,True,26,0.30887776282098556,0.38221992055575055,0.7983347508642409,0.7793156504631042,496778960,0.9132245397904969,0.6705403201766772,0.8305991829384114,0.8733812949640288,0.787817070912794,0.8497652582159625,0.5513471445690974
fedavg,9.0,13,0.0,9,33,True,18,0.34610451261202496,0.41830481092135113,0.8443375362290276,0.8357689380645752,399846480,0.9069374753853646,0.6562153656670907,0.818885569196929,0.7865707434052758,0.8512003949885824,0.7417582417582418,0.4908486766394102
fedprox_0p1,9.0,13,0.1,9,25,True,10,0.30939122372203404,0.33905963102976483,0.8233148786756728,0.8140832781791687,302914000,0.9143649124396094,0.6600216817699808,0.8329315514446431,0.8470023980815348,0.8188607048077516,0.8109452736318408,0.5013833016591348
fedavg,10.0,7,0.0,9,41,True,26,0.35455147094196743,0.43817951613002354,0.8596725000275506,0.8384253978729248,496778960,0.9009404363197092,0.6481280905973764,0.8111705932421254,0.7467625899280576,0.8755785965561933,0.6820809248554913,0.5310920401927861
fedprox_0p1,10.0,7,0.1,9,61,True,46,0.30080941319465637,0.3315560718377431,0.8297029866112603,0.810824990272522,739110160,0.9134486596984215,0.6733788786601309,0.8318666451767303,0.8354916067146283,0.8282416836388323,0.8092485549132948,0.5706527285370973
fedavg,10.0,11,0.0,9,30,True,15,0.35796552234225804,0.3940191964308421,0.8648096786604987,0.841172456741333,363496800,0.906634100236937,0.6597263079873918,0.8152156741557319,0.7486810551558754,0.8817502931555885,0.705607476635514,0.561792402522817
fedprox_0p1,10.0,11,0.1,9,52,True,37,0.30625542667176986,0.3345656659868028,0.8211830390824212,0.8057680726051331,630061120,0.9156075102887511,0.6785267437381298,0.8349522714729531,0.8522781774580336,0.8176263654878726,0.822429906542056,0.5746695859539814
fedavg,10.0,13,0.0,9,35,True,20,0.3729277518060472,0.4045901795228322,0.8550421396891276,0.8480392098426819,424079600,0.904497760798952,0.649527835047572,0.8146239016933092,0.761630695443645,0.8676171079429735,0.7243243243243244,0.47203347630296366
fedprox_0p1,10.0,13,0.1,9,33,True,18,0.3207034534878201,0.34607667062017655,0.8163740701145596,0.8112407326698303,399846480,0.9138491391667262,0.6716017749237653,0.8300881309394255,0.8494004796163069,0.810775782262544,0.7980295566502463,0.526067793195028
fedavg,12.0,7,0.0,9,26,True,11,0.3588121897644467,0.4062511126200358,0.8444847265879313,0.8230190873146057,315030560,0.907621364489597,0.659601261092014,0.8235582983344856,0.7961630695443646,0.8509535271246066,0.7559523809523809,0.5788157936244336
fedprox_0p1,12.0,7,0.1,9,21,True,6,0.33620089954800075,0.36937325530582005,0.8075580663151212,0.7930135726928711,254447760,0.9150234339467881,0.6647690825272448,0.8289427262115506,0.8580335731414868,0.7998518792816145,0.8356545961002786,0.5649888571668898
fedavg,12.0,11,0.0,9,37,True,22,0.3638349539703793,0.3836812674999237,0.8631018466419644,0.844121515750885,448312720,0.9011523460365203,0.6472985936006391,0.8051507914201873,0.7280575539568346,0.88224402888354,0.6990740740740741,0.5456154684742557
fedprox_0p1,12.0,11,0.1,9,52,True,37,0.3033226165506575,0.3524106178018782,0.8185606996218363,0.8063492178916931,630061120,0.9152101092686302,0.6752216566682333,0.8337963881810678,0.8532374100719424,0.8143553662901932,0.8101851851851852,0.5762940358022017
fedavg,12.0,13,0.0,9,35,True,20,0.3711211582024892,0.4481511579619514,0.8366464111540053,0.8309795260429382,424079600,0.9057682126840649,0.6506842916839538,0.8180461296580215,0.7932853717026379,0.8428068876134049,0.7718446601941747,0.5022475987942946
fedprox_0p1,12.0,13,0.1,9,47,True,32,0.294735848903656,0.31746892465485466,0.8371210296948751,0.8332573771476746,569478320,0.9147650663028176,0.6681911816531357,0.8335322040460578,0.8292565947242206,0.8378078133678948,0.7912621359223301,0.5152454756888831
fedavg,13.3,7,0.0,9,40,True,25,0.3438922133710649,0.4327266679869758,0.8553828133477105,0.8291284441947937,484662400,0.9005579835335581,0.648018673817462,0.8123395747390239,0.7553956834532374,0.8692834660248102,0.7215909090909091,0.5660145879480336
fedprox_0p1,13.3,7,0.1,9,48,True,33,0.30201444692081875,0.3211447099844615,0.8357617590162489,0.8193146586418152,581594880,0.9145838818669191,0.6727937504521134,0.8320483772212002,0.8273381294964028,0.8367586249459976,0.796969696969697,0.5826190803132067
fedavg,13.3,11,0.0,9,32,True,17,0.3755672441588508,0.42843827936384415,0.8352329995897081,0.8246418237686157,387729920,0.9089794041456337,0.6608765660922234,0.8278623241010967,0.8182254196642685,0.837499228537925,0.7941176470588235,0.5751701411292478
fedprox_0p1,13.3,11,0.1,9,57,True,42,0.30375169383154976,0.37684182988272774,0.8112724357181125,0.7951903939247131,690643920,0.9152396357307784,0.6749159753973983,0.8332372946301355,0.8618705035971223,0.8046040856631488,0.8382352941176471,0.5793239305790185
fedavg,13.3,13,0.0,9,27,True,12,0.3454926576879289,0.38828299774063957,0.8624510102801852,0.8540051579475403,327147120,0.9034320997192249,0.6506453307871151,0.8080169894819194,0.7366906474820144,0.8793433314818243,0.703862660944206,0.49400382537684795
fedprox_0p1,13.3,13,0.1,9,47,True,32,0.29586101571718854,0.33198414246241253,0.8319431410895454,0.8255707621574402,569478320,0.9116567068507756,0.6589031034254655,0.8297886482519224,0.8278177458033573,0.8317595507004876,0.782608695652174,0.5096278959523889
fedavg,15.0,7,0.0,9,40,True,25,0.34137312240070766,0.4539821412828233,0.8443533645735847,0.8238636255264282,484662400,0.9043124618986538,0.6508584305557215,0.8181256069019992,0.7836930455635491,0.8525581682404493,0.7441860465116279,0.559059236258153
fedprox_0p1,15.0,7,0.1,9,25,True,10,0.31362065341737533,0.32554879784584045,0.8214651478661431,0.8092037439346313,302914000,0.9149195955215091,0.6665660232119179,0.8312079164663085,0.8446043165467626,0.8178115163858545,0.8197674418604651,0.5728903679834697
fedavg,15.0,11,0.0,9,41,True,26,0.35665813750690883,0.45258989930152893,0.8552747633722093,0.837803304195404,496778960,0.9040737193618554,0.6510179641919838,0.8134698388299173,0.758273381294964,0.8686662963648707,0.735632183908046,0.5719481896726122
