client_id,test_auprc,test_recall,test_balanced_acc,test_samples,test_deaths,method,seed
2,0.7090752903496266,0.8726655348047538,0.8189888333623299,3985,589,fedprox_0p1,17
3,0.6126098862150712,0.8568329718004338,0.8082686115933777,3166,461,fedprox_0p1,17
4,0.2953372003490581,0.5,0.736842105263158,504,10,fedprox_0p1,17
5,0.7,0.8,0.878,255,5,fedprox_0p1,17
6,0.746791669055808,0.8472222222222222,0.8230676328502415,440,72,fedprox_0p1,17
7,0.6590461553146434,0.7927927927927928,0.8164775322990333,2798,333,fedprox_0p1,17
8,0.6983279406146667,0.8222222222222222,0.8356734180112141,2167,225,fedprox_0p1,17
0,0.5091940173609115,0.7479674796747967,0.8312039564438966,2893,123,fedprox_0p1,23
1,0.710645771540484,0.8277153558052435,0.8366376006825444,2080,267,fedprox_0p1,23
2,0.7030246461327306,0.833616298811545,0.8094759939287407,3985,589,fedprox_0p1,23
3,0.6217121745416194,0.8286334056399133,0.8128379597515647,3166,461,fedprox_0p1,23
4,0.3373456795498856,0.5,0.7388663967611335,504,10,fedprox_0p1,23
5,0.7254545454545454,0.8,0.88,255,5,fedprox_0p1,23
6,0.7696715814911098,0.8888888888888888,0.841183574879227,440,72,fedprox_0p1,23
7,0.6499566375966285,0.7837837837837838,0.8137985856038594,2798,333,fedprox_0p1,23
8,0.6920318022342345,0.8355555555555556,0.8407952855017737,2167,225,fedprox_0p1,23
0,0.5367616259247783,0.6504065040650406,0.7986689560036395,2893,123,fedavg,7
1,0.6898036772624435,0.7677902621722846,0.8121907736674991,2080,267,fedavg,7
2,0.7093121680019246,0.8455008488964346,0.8161544291596425,3985,589,fedavg,7
3,0.6126500764148375,0.7939262472885033,0.7991812382468394,3166,461,fedavg,7
4,0.24471967576424083,0.4,0.68582995951417,504,10,fedavg,7
5,0.5283333333333333,0.8,0.882,255,5,fedavg,7
6,0.7566907287215091,0.7916666666666666,0.8211050724637681,440,72,fedavg,7
7,0.6526859148104047,0.7537537537537538,0.8081141993920898,2798,333,fedavg,7
8,0.6842896662655337,0.8,0.8353759011328528,2167,225,fedavg,7
0,0.5140479804095045,0.6991869918699187,0.810965337090194,2893,123,fedavg,11
1,0.7117732960603662,0.7790262172284644,0.8269096888679554,2080,267,fedavg,11
2,0.7003283825862364,0.830220713073005,0.8158759631324979,3985,589,fedavg,11
3,0.6165518763128673,0.7592190889370932,0.7901455888308386,3166,461,fedavg,11
4,0.34221282616518267,0.4,0.6898785425101215,504,10,fedavg,11
5,0.49164404223227753,0.4,0.692,255,5,fedavg,11
6,0.7577929325982454,0.8333333333333334,0.8446557971014492,440,72,fedavg,11
7,0.6539181356193722,0.7327327327327328,0.8061229586584556,2798,333,fedavg,11
8,0.6767742540799399,0.7688888888888888,0.8203352786359995,2167,225,fedavg,11
0,0.4863232819387017,0.5040650406504065,0.7413827008306184,2893,123,fedavg,13
1,0.6870313191357131,0.6779026217228464,0.7995139142811695,2080,267,fedavg,13
2,0.6887508451846287,0.7113752122241087,0.7917889017539861,3985,589,fedavg,13
3,0.5859328003188604,0.6442516268980477,0.7705546489388575,3166,461,fedavg,13
4,0.22280574341237952,0.2,0.5949392712550607,504,10,fedavg,13
5,0.4344947735191637,0.2,0.596,255,5,fedavg,13
6,0.7051301432883296,0.6388888888888888,0.7759661835748792,440,72,fedavg,13
7,0.6540074913029537,0.6246246246246246,0.7782352332048073,2798,333,fedavg,13
8,0.6685346820828877,0.6533333333333333,0.7965430827325781,2167,225,fedavg,13
