method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,failure_type,description
cvar_0.5,19,39,True,14,0.2901463541719649,0.4223336610529158,0.8579082489013672,0.7404078841209412,472545840,0.8850608385722453,0.6310961639427914,0.7952703935722001,0.7577937649880095,0.8327470221563907,0.3,0.14778600844835094,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.5,23,108,True,83,0.2908335311545266,0.48948214451471966,0.8376035690307617,0.563083291053772,1308588480,0.8383353380247107,0.5580752203971889,0.7428165225642112,0.6714628297362111,0.8141702153922113,0.1,0.11581115606558717,low_worst_client_accuracy,Worst-client accuracy remains below 0.70.
cvar_0.5,23,108,True,83,0.2908335311545266,0.48948214451471966,0.8376035690307617,0.563083291053772,1308588480,0.8383353380247107,0.5580752203971889,0.7428165225642112,0.6714628297362111,0.8141702153922113,0.1,0.11581115606558717,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.5,31,68,True,43,0.2910631580485238,0.42245852284961277,0.8670470714569092,0.8158093094825745,823926080,0.8765757029629029,0.6111022496899974,0.7808418105360185,0.6940047961630695,0.8676788249089675,0.2,0.10776458436562346,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.5,37,36,True,11,0.30861646433671314,0.3548564480410682,0.8983234100871615,0.8218318819999695,436196160,0.8830204934367634,0.6258921349986426,0.7886280496062325,0.6786570743405276,0.8985990248719373,0.0,0.16069940027942015,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.5,41,66,True,41,0.300002031856113,0.39738238354523975,0.8704657554626465,0.7487037777900696,799692960,0.8721914451404994,0.6162030121148517,0.7829425850173407,0.7127098321342926,0.8531753379003888,0.2,0.19728205828670678,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.5,47,50,True,25,0.26581386890676284,0.414114558034473,0.8752411603927612,0.8130489587783813,605828000,0.8839930906598549,0.6325125979160908,0.8020260037110101,0.7390887290167866,0.8649632784052336,0.2,0.13923485862477672,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.75,7,47,True,22,0.3086705936325921,0.5567826926708221,0.7910421722465091,0.30279985070228577,569478320,0.8417146453176285,0.5346059733840548,0.7573487368224288,0.765947242206235,0.7487502314386225,0.5,0.10245136044511044,low_worst_client_accuracy,Worst-client accuracy remains below 0.70.
cvar_0.75,7,47,True,22,0.3086705936325921,0.5567826926708221,0.7910421722465091,0.30279985070228577,569478320,0.8417146453176285,0.5346059733840548,0.7573487368224288,0.765947242206235,0.7487502314386225,0.5,0.10245136044511044,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.75,19,39,True,14,0.28457754850387573,0.39546049965752494,0.867579804526435,0.8173149228096008,472545840,0.8908231755643439,0.6323207845945517,0.8037274383418649,0.7534772182254197,0.8539776584583102,0.3,0.1507673490169116,low_average_accuracy,Average accuracy remains below 0.90.
