evaluation,local_epochs,clients_per_round,lr,loss,accuracy,comm,fitness
43,6,17,0.05617985562660402,0.09389979245024734,0.9724473694960276,1643872800,16.53262779245025
44,7,4,0.07231043264968344,0.1736085629866769,0.946842497587204,95409088,1.127699442986677
45,4,5,0.01959081675599328,0.16170584925760825,0.9454635163148244,177280400,1.9345098492576083
46,3,11,0.03046538768106454,0.09849261615114907,0.9628482401371002,936040512,9.45889773615115
47,5,11,0.005706502397895295,0.08552075452171266,0.9692428827285766,1623888464,16.324405394521715
48,4,7,0.031011500918704277,0.11462333269882947,0.9625278015931448,482847344,4.943096772698829
49,5,15,0.04410690069609655,0.11116959128218393,0.9609390338261922,889625280,9.007422391282185
50,5,9,0.0721445295453933,0.12240783777475978,0.9605360349019368,498963744,5.11204527777476
51,6,16,0.021257056238503498,0.12168512326510002,0.9598781704902649,917990144,9.3015865632651
52,2,4,0.019820194574740636,0.12681333282962443,0.9542591810226441,319749376,3.3243070928296246
53,3,8,0.05819493612335043,0.1434950654084484,0.9474221924940746,201132672,2.1548217854084486
54,7,9,0.0439428489459715,0.13092902733866746,0.9642302413781484,556982784,5.700756867338668
55,2,4,0.02692608370216681,0.12936597432320315,0.952788096666336,185660928,1.9859752543232032
56,3,6,0.07307597496932267,0.1676873161069428,0.9466761966546376,201132672,2.1790140361069428
57,5,5,0.041362568186196255,0.14943253384747854,0.9531831165154775,177280400,1.9222365338474785
58,5,13,0.0762172049138424,0.11092207706145321,0.9635339518388112,921858080,9.329502877061453
59,1,7,0.005845887467863173,0.12301959581673146,0.9529619415601095,1353777600,13.660795595816733
60,5,11,0.005845887467863173,0.10120119570444028,0.9615397095680237,1106229696,11.16349815570444
61,5,6,0.0750951641650765,0.15844139303856838,0.9542384147644043,205000608,2.2084474730385684
62,4,9,0.04648471037008004,0.0967317500927796,0.9695451279481252,916700832,9.26374007009278
63,4,3,0.015214176858907327,0.14984930629531543,0.9488787015279134,160519344,1.7550427462953155
64,7,14,0.054788969316167994,0.11438117894576863,0.9632651706536611,965694688,9.771328058945768
65,5,11,0.005706502397895295,0.08570908876135945,0.9677367548147837,1602614816,16.11185724876136
66,7,6,0.06539873934984963,0.15355730160760384,0.955538288752238,189528864,2.048845941607604
67,5,4,0.07482250119562876,0.16527088647708296,0.9474841554959615,92830464,1.093575526477083
68,7,13,0.07778347608489186,0.14017499388816457,0.9573904752731324,502831680,5.1684917938881645
69,2,3,0.054654076785494686,0.17094272986675302,0.9404926697413126,96698400,1.137926729866753
70,2,10,0.07034302287906047,0.08864038429843883,0.9657406965891521,934751200,9.436152384298438
71,2,4,0.0249287662768665,0.11306356775263945,0.9585524876912435,296541760,3.0784811677526394
72,5,4,0.03790061485766592,0.13474719290000697,0.9554971714814504,177925056,1.9139977529000072
73,5,11,0.07685939720546651,0.12615978424825394,0.9635011315345764,560206064,5.728220424248255
74,3,5,0.07674251279735564,0.13196322289295495,0.9557568411032359,183726960,1.969232822892955
75,5,9,0.051611708266495554,0.0874905262918522,0.9717132588227589,951512256,9.602613086291852
76,7,13,0.04715228049208028,0.10115752097529669,0.9652796109517415,921858080,9.319738320975297
77,4,4,0.07564321957059716,0.14033336507466931,0.9576752742131551,152138816,1.6617215250746695
78,3,4,0.05109768283925077,0.13500882643274964,0.9546218812465668,214025792,2.27526674643275
79,2,12,0.009076482053670655,0.095513098500669,0.9618601898352305,1732835328,17.42386637850067
80,7,4,0.03661039299050146,0.13211707577575,0.9576038459936778,175346432,1.88558139577575
81,3,10,0.0708306209240439,0.12434792385902256,0.9562813142935435,496385120,5.088199123859022
82,4,9,0.07856068297719442,0.11323125034881135,0.9630111475785573,510567552,5.218906770348812
83,7,11,0.05597762449185765,0.1743165143299848,0.9493959407011668,226918912,2.443505634329985
84,7,5,0.06647901448510135,0.16502470030682162,0.95306037068367,154717440,1.7121991003068218
85,7,5,0.020623178062830406,0.1724150930531323,0.9473180095354716,177280400,1.9452190930531323
86,5,8,0.07562972832556236,0.16313202710977445,0.9530990223089854,201132672,2.1744587471097745
87,5,4,0.07720944245681424,0.13309878332850833,0.9612445294857025,177925056,1.9123493433285086
88,4,5,0.030698602151419084,0.15126853093194464,0.9497097134590149,177280400,1.9240725309319446
89,7,3,0.045441747569185995,0.15762207127021005,0.9513605872790019,94764432,1.10526639127021
90,5,4,0.06421740873095236,0.13419735229108481,0.9565146863460541,146981568,1.6040130322910848
