method,seed,beta,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
dirichlet_beta_0p1_fedprox,23,0.1,18,True,3,0.41688033459442003,0.9338278076167972,0.6904835303624471,0.0,2943360,0.8885282978597444,0.44730877920739753,0.607389655899438,0.22058823529411764,0.9941910765047584,0.0,0.0
dirichlet_beta_0p1_cvar_0.9,23,0.1,18,True,3,0.41458586496966227,1.0473807115617784,0.646978171808379,0.0,2943360,0.8734552682771293,0.4204280270174173,0.5774528758481516,0.15756302521008403,0.9973427264862192,0.0,0.0
dirichlet_beta_0p1_fedavg,29,0.1,16,True,1,0.46182812470942736,1.0666659018024802,0.6592849958688021,0.25,2616320,0.8450921561171156,0.6709220321142697,0.671140402605508,0.36547733847637415,0.9768034667346418,0.0,0.0
dirichlet_beta_0p1_fedprox,29,0.1,16,True,1,0.4585871994495392,1.063009568490088,0.654097406193614,0.25,2616320,0.8462495000800119,0.6725725105987014,0.6716363896030408,0.3659594985535198,0.9773132806525618,0.0,0.0
dirichlet_beta_0p1_cvar_0.9,29,0.1,16,True,1,0.4591961922124028,1.0665461441967636,0.6539570782333612,0.25,2616320,0.8449404594372235,0.6708017055221097,0.671076675865768,0.36547733847637415,0.9766760132551618,0.0,0.0
dirichlet_beta_0p1_fedavg,31,0.1,18,True,3,0.4136027056309912,1.1030866415757272,0.6742182614074813,0.0,2943360,0.8559101130227706,0.5336018285069843,0.6250598255218967,0.2605421686746988,0.9895774823690944,0.0,0.0
dirichlet_beta_0p1_fedprox,31,0.1,18,True,3,0.41253508710198933,1.1033793558470077,0.675555037955443,0.0,2943360,0.8561210140443194,0.5421839026402865,0.6232362984986191,0.25552208835341367,0.9909505086438245,0.0,0.0
dirichlet_beta_0p1_cvar_0.9,31,0.1,18,True,3,0.41221362931860817,1.0986063300062798,0.6748981003959974,0.0,2943360,0.8567548293404535,0.5346083621465391,0.6254668552509983,0.26104417670682734,0.9898895337951694,0.0,0.0
dirichlet_beta_0p1_fedavg,37,0.1,17,True,2,0.39032634666987825,1.64739307382011,0.49967045549835476,0.0,2779840,0.8210134022355984,0.5785080467143761,0.5380479279245629,0.07644744238336144,0.9996484134657643,0.0,0.0
dirichlet_beta_0p1_fedprox,37,0.1,17,True,2,0.3808567300438881,1.6034021322349352,0.4995505708668913,0.0,2779840,0.8273826472479829,0.5870979474540979,0.5445122337143324,0.0893760539629005,0.9996484134657643,0.0,0.0
dirichlet_beta_0p1_cvar_0.9,37,0.1,17,True,2,0.3812092659728868,1.6315039762827968,0.49995263080511776,0.0,2779840,0.8213284763402667,0.5796407428450121,0.5388910982449676,0.07813378302417089,0.9996484134657643,0.0,0.0
dirichlet_beta_0p1_fedavg,41,0.1,17,True,2,0.5194856630904334,1.9265898833234263,0.6858646113957677,0.0,2779840,0.7276059619081747,0.3151491866306873,0.5002961259754738,0.0009157509157509158,0.9996765010351967,0.0,0.0
dirichlet_beta_0p1_fedprox,41,0.1,17,True,2,0.5212929930005755,1.722789503525876,0.6893573152566594,0.0,2779840,0.8329326034343503,0.47534723323720834,0.5068681318681318,0.013736263736263736,1.0,0.0,0.0
dirichlet_beta_0p1_cvar_0.9,41,0.1,17,True,2,0.5188558612551007,1.9257675652292423,0.6865139614258494,0.0,2779840,0.7222507505649974,0.3080069914274457,0.5007540014333492,0.0018315018315018315,0.9996765010351967,0.0,0.0
dirichlet_beta_0p1_fedavg,43,0.1,22,True,7,0.4285147280285233,0.5430294554680586,0.7747691069778643,0.0,3597440,0.8944440262286367,0.5614868777219257,0.7249703879973922,0.4869072894550602,0.9630334865397242,0.0,0.0
dirichlet_beta_0p1_fedprox,43,0.1,22,True,7,0.42601162744195836,0.5388242999140761,0.7779319662796823,0.0,3597440,0.8959748122559537,0.5619245754849407,0.7255723399499721,0.48903043170559096,0.9621142481943532,0.0,0.0
dirichlet_beta_0p1_cvar_0.9,43,0.1,22,True,7,0.43111316075450495,0.5397138660773635,0.7778179394571405,0.0,3597440,0.8953115219849078,0.5626865897235522,0.7259662992408454,0.48903043170559096,0.9629021667760999,0.0,0.0
dirichlet_beta_0p1_fedavg,47,0.1,29,True,14,0.3282855022698641,0.39999161867767963,0.8158931340041914,0.4000000059604645,4742080,0.8836504556690336,0.5099932195178282,0.7524296105985295,0.5854922279792746,0.9193669932177845,0.0,0.0
dirichlet_beta_0p1_fedprox,47,0.1,29,True,14,0.3263026869022532,0.38731273796139776,0.8171481066628506,0.4000000059604645,4742080,0.8851208648391315,0.5123036922887584,0.7555698505726033,0.5924006908462867,0.9187390102989199,0.0,0.0
dirichlet_beta_0p1_cvar_0.9,47,0.1,29,True,14,0.3285568015355813,0.39502656695089844,0.814759296806235,0.4000000059604645,4742080,0.8845541798499694,0.5111719675849595,0.7549941453336857,0.5912492803684514,0.9187390102989199,0.0,0.0
dirichlet_beta_0p5_fedavg,7,0.5,29,True,14,0.3811286230882009,0.4598711058497429,0.8193149775266647,0.46666666865348816,4742080,0.8877617624471058,0.5974900180243354,0.752939437008068,0.5707434052757794,0.9351354687403567,0.0,0.0
dirichlet_beta_0p5_fedprox,7,0.5,29,True,14,0.3779899095495542,0.4575040618578593,0.818074855208397,0.4000000059604645,4742080,0.8881860702883722,0.5980300885772731,0.7532409621275393,0.5712230215827339,0.9352589026723447,0.0,0.0
dirichlet_beta_0p5_fedavg,11,0.5,28,True,13,0.3683552930752436,0.5572125644733509,0.7935852398475011,0.27906978130340576,4578560,0.837320441739554,0.5233453242577147,0.6380121009654043,0.28633093525179854,0.98969326667901,0.0,0.00303951367781155
dirichlet_beta_0p5_fedprox,11,0.5,28,True,13,0.36779049783945084,0.5550479809443156,0.7946640203396479,0.27906978130340576,4578560,0.8382013663277857,0.529604784373916,0.6394509498862676,0.2892086330935252,0.98969326667901,0.0,0.0030959752321981426
dirichlet_beta_0p5_fedavg,19,0.5,46,True,31,0.35941643416881563,0.3914171129465103,0.8417641758918762,0.6000000238418579,7521920,0.8998570001617666,0.6026283842276395,0.7959394676445476,0.6997601918465228,0.8921187434425724,0.0,0.0
dirichlet_beta_0p5_fedprox,19,0.5,46,True,31,0.3584886779387792,0.38879317343235015,0.8428183396657308,0.6000000238418579,7521920,0.9001754715464807,0.6041028002949893,0.7963573669855081,0.7007194244604317,0.8919953095105845,0.0,0.0
dirichlet_beta_0p5_fedavg,23,0.5,43,True,28,0.306500859806935,0.4238958676656087,0.8324377179145813,0.75,7031360,0.8953634426286039,0.5970620505746689,0.8084723630094258,0.7707434052757793,0.8462013207430723,0.5714285714285714,0.10887724243222555
dirichlet_beta_0p5_fedprox,23,0.5,43,True,28,0.30478804260492326,0.4192563722531001,0.8333034733931224,0.75,7031360,0.8960227929487552,0.6075698366902335,0.8086716333284049,0.7697841726618705,0.8475590939949392,0.5714285714285714,0.10970015826504172
dirichlet_beta_0p5_fedavg,29,0.5,27,True,12,0.3397666255633036,0.3478695020079613,0.8566644191741943,0.653333306312561,4415040,0.8966570568762542,0.602913536485355,0.7940175835632179,0.6877697841726619,0.900265382953774,0.0,0.0
dirichlet_beta_0p5_fedprox,29,0.5,27,True,12,0.3381817564368248,0.34595786134401957,0.8582930703957875,0.6666666865348816,4415040,0.8974151247415324,0.6052306803005197,0.7955110897395765,0.6911270983213429,0.8998950811578103,0.0,0.0
dirichlet_beta_0p5_fedavg,31,0.5,42,True,27,0.34716946451828395,0.40559394631920187,0.835776896312319,0.2777777910232544,6867840,0.8850204566626911,0.5946039501156933,0.742510664965127,0.5390887290167866,0.9459326009134674,0.0,0.0
dirichlet_beta_0p5_fedprox,31,0.5,42,True,27,0.3470718400745556,0.40642120278087157,0.8362299984899061,0.2777777910232544,6867840,0.885182825224822,0.594281691168664,0.7415822927388246,0.5371702637889688,0.9459943216886804,0.0,0.0
dirichlet_beta_0p5_fedavg,37,0.5,34,True,19,0.3616801829173647,0.3897758598985343,0.8302682206548494,0.7323943376541138,5559680,0.9035373848803935,0.615368760965541,0.8122577163549989,0.7606714628297362,0.8638439698802617,0.0,0.0
dirichlet_beta_0p5_fedprox,37,0.5,34,True,19,0.36192238587757636,0.38967594607123013,0.8322942318587467,0.7464788556098938,5559680,0.9037283048514898,0.6154453733117328,0.8130080012030371,0.7621103117505995,0.8639056906554746,0.0,0.0
dirichlet_beta_0p5_fedavg,41,0.5,35,True,20,0.34065265556176505,0.4078961193561554,0.8397399544715881,0.4976744055747986,5723200,0.8811134391875501,0.5763099528413033,0.6888177293751002,0.4028776978417266,0.9747577609084738,0.0,0.0
dirichlet_beta_0p5_fedprox,41,0.5,35,True,20,0.3388186678290367,0.4076438633104165,0.8388483275969824,0.4838709533214569,5723200,0.8818586456515217,0.584034537343035,0.688639638187617,0.4023980815347722,0.9748811948404617,0.0,0.0
dirichlet_beta_0p5_fedavg,43,0.5,50,True,35,0.3225785126288732,0.3893781200051308,0.8380633970101674,0.6666666865348816,8176000,0.8995249865650897,0.6172960410592828,0.8017220809540111,0.7199040767386091,0.8835400851694131,0.0,0.0
dirichlet_beta_0p5_fedprox,43,0.5,50,True,35,0.323122201859951,0.3879607513546944,0.8356240610281627,0.6666666865348816,8176000,0.8997919531436506,0.6177333370475373,0.8016841627605156,0.7203836930455636,0.8829846324754675,0.0,0.0
dirichlet_beta_0p5_fedavg,47,0.5,52,True,37,0.31074951638778053,0.333753918359677,0.8669905881086986,0.5799999833106995,8503040,0.8926654343993793,0.5882887911614559,0.7599608297069065,0.5884892086330935,0.9314324507807196,0.0,0.0
dirichlet_beta_0p5_fedprox,47,0.5,52,True,37,0.3089714440206687,0.33267782007654506,0.8669957021872202,0.5799999833106995,8503040,0.8933789239669179,0.5893902652332024,0.7610055780593077,0.5908872901678657,0.9311238659507498,0.0,0.0
dirichlet_beta_1p0_fedavg,7,1.0,55,True,40,0.3058433383703232,0.3216980357964834,0.8703676223754883,0.6642335653305054,8993600,0.8927443344343226,0.6040118897469208,0.7753789266309596,0.6311750599520384,0.9195827933098809,0.3333333333333333,0.05182558235883808
dirichlet_beta_1p0_fedprox,7,1.0,55,True,40,0.306073389450709,0.3211660012602806,0.8700868209203084,0.6642335653305054,8993600,0.892680293831959,0.6037190748075755,0.7771977566992878,0.6354916067146283,0.9189039066839474,0.3333333333333333,0.047586030355831185
dirichlet_beta_1p0_fedavg,11,1.0,51,True,36,0.35061339288949966,0.422436777750651,0.8361489276091257,0.7206704020500183,8339520,0.8989884337669652,0.6050908375684966,0.8143927516753492,0.7731414868105515,0.8556440165401469,0.5,0.04583333333333334
dirichlet_beta_1p0_fedprox,11,1.0,51,True,36,0.3491928080717723,0.41860264937082925,0.8365838507811229,0.7150837779045105,8339520,0.8990621685210616,0.6054452048327817,0.8141053459768752,0.7717026378896883,0.8565080540640622,0.5,0.04583333333333334
dirichlet_beta_1p0_fedavg,19,1.0,66,True,51,0.28066232552131015,0.2995893528064092,0.8730409880479176,0.6344537734985352,10792320,0.9001733107126593,0.6153985605200097,0.780263225079999,0.6431654676258993,0.9173609825340986,0.0,0.006981840221926941
dirichlet_beta_1p0_fedprox,19,1.0,66,True,51,0.28042424966891605,0.29856376101573306,0.8745349168777465,0.6344537734985352,10792320,0.9003114560749105,0.6158664119996833,0.7814693255578836,0.645083932853717,0.9178547182620502,0.0,0.006980017536572985
dirichlet_beta_1p0_fedavg,23,1.0,48,True,33,0.33700259576241176,0.37468249201774595,0.8404225250085194,0.6833333373069763,7848960,0.8981389152703019,0.6032188817106484,0.8051267706442141,0.7443645083932854,0.8658890328951429,0.0,0.0
dirichlet_beta_1p0_fedprox,23,1.0,48,True,33,0.33717715640862783,0.37317725519339245,0.8394717633724212,0.6833333373069763,7848960,0.8982617423927919,0.6036918367922866,0.8036332644678554,0.7410071942446043,0.8662593346911066,0.0,0.0
dirichlet_beta_1p0_fedavg,29,1.0,49,True,34,0.35263107617696127,0.38696525593598685,0.8398745258649191,0.746835470199585,8012480,0.896507855740958,0.6027069057328481,0.8045412586797809,0.750599520383693,0.8584829969758687,0.5714285714285714,0.09090909090909091
dirichlet_beta_1p0_fedprox,29,1.0,49,True,34,0.3517692779501279,0.386927397052447,0.8389797588189443,0.7405063509941101,8012480,0.8966060108772822,0.6027178126487837,0.8045650574522792,0.7510791366906475,0.858050978213911,0.5,0.1
dirichlet_beta_1p0_fedavg,31,1.0,46,True,33,0.35398461669683456,0.4284140924612681,0.8301701823870341,0.699999988079071,7521920,0.8978730883095782,0.603654317210131,0.8107919885162043,0.7745803357314148,0.8470036413009936,0.5,0.17541202759563138
dirichlet_beta_1p0_fedprox,31,1.0,48,True,33,0.35122722486654917,0.36418527116378147,0.8426348328590393,0.6000000238418579,7848960,0.8830033843689723,0.5980460827883021,0.7792454723501332,0.6661870503597123,0.8923038943405542,0.2857142857142857,0.037037037037037035
dirichlet_beta_1p0_fedavg,37,1.0,61,True,46,0.3235768049955368,0.3724853292107582,0.8624197761217753,0.699999988079071,9974720,0.8885141174229659,0.5930361086719401,0.7728864492187031,0.6306954436450839,0.9150774547923224,0.3333333333333333,0.045454545454545456
dirichlet_beta_1p0_fedprox,37,1.0,61,True,46,0.32279063761234283,0.37222467561562855,0.8618751962979635,0.7200000286102295,9974720,0.8883418279262907,0.5926546700199246,0.7709230060868912,0.6278177458033574,0.9140282663704252,0.3333333333333333,0.04473519884478788
dirichlet_beta_1p0_fedavg,41,1.0,51,True,36,0.29621032252907753,0.3093330293893814,0.8757193605105082,0.5323383212089539,8339520,0.8750504206891846,0.5871128320278917,0.7003769174995127,0.4330935251798561,0.9676603098191693,0.0,0.04166666666666667
dirichlet_beta_1p0_fedprox,41,1.0,51,True,36,0.29572948763767876,0.3085057459771633,0.8770339945952098,0.5323383212089539,8339520,0.8755283793701938,0.5882042768190432,0.7027203417787895,0.437410071942446,0.968030611615133,0.0,0.04230769230769231
dirichlet_beta_1p0_fedavg,43,1.0,54,True,53,0.292533070842425,0.30259575694799423,0.8719189842542012,0.7681159377098083,8830080,0.8975615582335094,0.5999130283657179,0.7737188290471122,0.6244604316546762,0.9229772264395483,0.2,0.06302830502830503
dirichlet_beta_1p0_fedprox,43,1.0,71,True,56,0.2876785924037298,0.36490959028402964,0.856515771150589,0.7914572954177856,11609920,0.8903332138954638,0.604679453143515,0.7913240154034891,0.6925659472422062,0.8900820835647719,0.0,0.06556181929743826
dirichlet_beta_1p0_fedavg,47,1.0,56,True,41,0.32774440745512645,0.4057631740967433,0.8355848848819732,0.6136363744735718,9157120,0.8983429808643365,0.609886649880899,0.8095136925083152,0.7649880095923262,0.8540393754243042,0.5952380952380952,0.14693094024016265
dirichlet_beta_1p0_fedprox,47,1.0,56,True,41,0.32561377386252083,0.4038892159859339,0.8364435414473216,0.6136363744735718,9157120,0.8985931047792761,0.6108460467397689,0.8106034187647105,0.7664268585131895,0.8547799790162316,0.5952380952380952,0.14908662136923004
dirichlet_beta_infinity_fedavg,7,infinity,53,True,38,0.47959123154481254,0.4943702022234599,0.8114047010739645,0.7783251404762268,8666560,0.8978021359990326,0.5735334056211443,0.8158398147247801,0.8215827338129497,0.8100968956366105,0.7076923076923077,0.40635390015999256
dirichlet_beta_infinity_fedprox,7,infinity,53,True,38,0.4721907784541448,0.48730486730734507,0.8117878456910451,0.7803278565406799,8666560,0.8982751958033647,0.5824962412646922,0.8156379247647985,0.8206235011990408,0.8106523483305561,0.7230769230769231,0.41033149968023436
dirichlet_beta_infinity_fedavg,11,infinity,68,True,53,0.4656066298484802,0.49379990100860593,0.8126640538374583,0.7918033003807068,11119360,0.8950814390146834,0.5831027728848398,0.8184301068680326,0.8258992805755395,0.8109609331605259,0.726027397260274,0.49109936379312386
dirichlet_beta_infinity_fedprox,11,infinity,68,True,53,0.45928114652633667,0.489316913485527,0.8138667682806651,0.7914614081382751,11119360,0.8950826378334474,0.584801304237172,0.8184821444825254,0.8244604316546763,0.8125038573103747,0.7123287671232876,0.4900202549453651
dirichlet_beta_infinity_fedavg,19,infinity,59,True,44,0.4662781645854314,0.486102557182312,0.8168163339296977,0.7750410437583923,9647680,0.8962062418200971,0.5761995122809181,0.8159695091547573,0.8148681055155875,0.8170709127939271,0.7121212121212122,0.46136299234914163
dirichlet_beta_infinity_fedprox,19,infinity,59,True,44,0.46297687192757925,0.48321681618690493,0.8167615095774333,0.7766830921173096,9647680,0.8964918714907726,0.5767278278061172,0.8142670533079184,0.811031175059952,0.8175029315558847,0.7121212121212122,0.46878573516953326
dirichlet_beta_infinity_fedavg,23,infinity,48,True,33,0.4733162601788839,0.496803946296374,0.8083952029546102,0.7688524723052979,7848960,0.8973578182445713,0.5769376777890977,0.8162320948647488,0.826378896882494,0.8060852928470036,0.7631578947368421,0.46800382707567284
dirichlet_beta_infinity_fedprox,23,infinity,48,True,33,0.4717983573675156,0.4955432633558909,0.8087776223818461,0.7737705111503601,7848960,0.8976535860739292,0.5764554770263627,0.8172839029276486,0.8282973621103118,0.8062704437449855,0.7631578947368421,0.4673940262496151
dirichlet_beta_infinity_fedavg,29,infinity,62,True,47,0.4688472410043081,0.5031725704669953,0.8115114788214366,0.7816091775894165,10138240,0.8946731450240659,0.570147032547083,0.8102598905878076,0.8086330935251799,0.8118866876504351,0.7164179104477612,0.4456460877437597
dirichlet_beta_infinity_fedprox,29,infinity,62,True,47,0.46235894163449603,0.4970420757929484,0.8122227569421132,0.779967188835144,10138240,0.8951412467507942,0.5768184824242262,0.8119147488896497,0.8115107913669065,0.8123187064123928,0.7241379310344828,0.4604809565552226
dirichlet_beta_infinity_fedavg,31,infinity,65,True,50,0.46367004911104837,0.49697523613770805,0.8165432870388031,0.7750410437583923,10628800,0.893120067915303,0.5717123848218394,0.8091288272844046,0.7995203836930456,0.8187372708757638,0.7230769230769231,0.4623725825595145
dirichlet_beta_infinity_fedprox,31,infinity,56,True,41,0.45731856922308606,0.4939625730117162,0.8155587832132976,0.7717570066452026,9157120,0.8899344364537994,0.5630313412879152,0.8069017772266172,0.7956834532374101,0.8181201012158242,0.6949152542372882,0.45247365752968155
dirichlet_beta_infinity_fedavg,37,infinity,60,True,45,0.4667116125424703,0.48512753943602244,0.8132116576035817,0.7786885499954224,9811200,0.8970924944917238,0.5843697870651373,0.8164402453227197,0.8206235011990408,0.8122569894463988,0.7246376811594203,0.5150435001827234
dirichlet_beta_infinity_fedprox,37,infinity,60,True,45,0.46153302093346915,0.4830056716998418,0.8136498947938283,0.7786885499954224,9811200,0.8976869753965389,0.5860546058964693,0.8177318615390968,0.823021582733813,0.8124421403443807,0.7246376811594203,0.5178128564835763
dirichlet_beta_infinity_fedavg,41,infinity,65,True,50,0.45785794258117674,0.49827359318733216,0.8146873414516449,0.7881773114204407,10628800,0.896896924230658,0.5769574639502434,0.8143481289769148,0.8139088729016787,0.8147873850521509,0.7391304347826086,0.44188155469876456
dirichlet_beta_infinity_fedprox,41,infinity,74,True,59,0.45490341683228813,0.5007875591516495,0.8152892450491588,0.7766830921173096,12100480,0.8974507340988901,0.5781246744852003,0.815941270312763,0.8167865707434053,0.8150959698821206,0.746031746031746,0.42496273173663585
dirichlet_beta_infinity_fedavg,43,infinity,72,True,57,0.4568817883729935,0.5096059362093608,0.8111888110637665,0.7836065292358398,11773440,0.8956131965377523,0.5783509797369705,0.8159253304632723,0.822062350119904,0.8097883108066407,0.7580645161290323,0.47724406795647645
dirichlet_beta_infinity_fedprox,43,infinity,72,True,57,0.4557470937569936,0.5065034538507461,0.8110256890455881,0.7868852615356445,11773440,0.8957904293117994,0.5805673667381553,0.8162506543552419,0.823021582733813,0.809479725976671,0.7580645161290323,0.4778950705582765
dirichlet_beta_infinity_fedavg,47,infinity,70,True,55,0.46152279476324715,0.4871731718381246,0.8153477350870768,0.7819672226905823,11446400,0.8963835633955343,0.5806193682729784,0.8155542294547994,0.8158273381294964,0.8152811207801024,0.6875,0.49020255283340836
dirichlet_beta_infinity_fedprox,47,infinity,70,True,55,0.45561061302820843,0.4824825465679169,0.815238090356191,0.7852458953857422,11446400,0.8967014871716772,0.5811421842618414,0.8163283111707265,0.8177458033573142,0.8149108189841388,0.7125,0.49068377794203205
