model,x,y,loss,accuracy
mlp,-0.5833333333333334,-0.33333333333333337,0.5735567212104797,0.5582000017166138
mlp,-0.5833333333333334,-0.25,0.55096036195755,0.569599986076355
mlp,-0.5833333333333334,-0.16666666666666674,0.5270180702209473,0.5849999785423279
mlp,-0.5833333333333334,-0.08333333333333337,0.5027456879615784,0.6037999987602234
mlp,-0.5833333333333334,0.0,0.47887879610061646,0.6245999932289124
mlp,-0.5833333333333334,0.08333333333333326,0.4567326009273529,0.6309999823570251
mlp,-0.5833333333333334,0.16666666666666652,0.43717288970947266,0.6462000012397766
mlp,-0.5833333333333334,0.25,0.42126190662384033,0.6582000255584717
mlp,-0.5833333333333334,0.33333333333333326,0.40817496180534363,0.6579999923706055
mlp,-0.5833333333333334,0.4166666666666665,0.3960842788219452,0.652400016784668
mlp,-0.5833333333333334,0.5,0.3842451870441437,0.6539999842643738
mlp,-0.5833333333333334,0.5833333333333333,0.37329399585723877,0.6601999998092651
mlp,-0.5833333333333334,0.6666666666666665,0.36321794986724854,0.6743999719619751
mlp,-0.5833333333333334,0.75,0.35396909713745117,0.6912000179290771
mlp,-0.5833333333333334,0.8333333333333333,0.34505710005760193,0.7003999948501587
mlp,-0.5833333333333334,0.9166666666666665,0.3369661569595337,0.7131999731063843
mlp,-0.5833333333333334,1.0,0.33184126019477844,0.7174000144004822
mlp,-0.5,-1.0,0.6577629446983337,0.5551999807357788
mlp,-0.5,-0.9166666666666666,0.6374542713165283,0.5559999942779541
mlp,-0.5,-0.8333333333333334,0.6257520914077759,0.5594000220298767
mlp,-0.5,-0.75,0.6173595190048218,0.5577999949455261
mlp,-0.5,-0.6666666666666667,0.6059220433235168,0.5527999997138977
mlp,-0.5,-0.5833333333333334,0.5896492004394531,0.5569999814033508
mlp,-0.5,-0.5,0.5704751014709473,0.5662000179290771
mlp,-0.5,-0.41666666666666674,0.5506075620651245,0.5842000246047974
mlp,-0.5,-0.33333333333333337,0.5295036435127258,0.6065999865531921
mlp,-0.5,-0.25,0.5074939131736755,0.6323999762535095
mlp,-0.5,-0.16666666666666674,0.4852772355079651,0.6741999983787537
mlp,-0.5,-0.08333333333333337,0.46327292919158936,0.7229999899864197
mlp,-0.5,0.0,0.44181686639785767,0.7851999998092651
mlp,-0.5,0.08333333333333326,0.42235681414604187,0.8159999847412109
mlp,-0.5,0.16666666666666652,0.4052123427391052,0.8185999989509583
mlp,-0.5,0.25,0.3909236788749695,0.8163999915122986
mlp,-0.5,0.33333333333333326,0.37855425477027893,0.8166000247001648
mlp,-0.5,0.4166666666666665,0.36732617020606995,0.8131999969482422
mlp,-0.5,0.5,0.35762840509414673,0.8112000226974487
mlp,-0.5,0.5833333333333333,0.35036298632621765,0.8076000213623047
mlp,-0.5,0.6666666666666665,0.3455944359302521,0.807200014591217
mlp,-0.5,0.75,0.3415669798851013,0.8046000003814697
mlp,-0.5,0.8333333333333333,0.3376471996307373,0.798799991607666
mlp,-0.5,0.9166666666666665,0.3349561095237732,0.7936000227928162
mlp,-0.5,1.0,0.3361179232597351,0.7865999937057495
mlp,-0.41666666666666674,-1.0,0.6326943039894104,0.578000009059906
mlp,-0.41666666666666674,-0.9166666666666666,0.6035506129264832,0.574400007724762
mlp,-0.41666666666666674,-0.8333333333333334,0.5858256816864014,0.574400007724762
mlp,-0.41666666666666674,-0.75,0.5731782913208008,0.5723999738693237
mlp,-0.41666666666666674,-0.6666666666666667,0.558827817440033,0.5741999745368958
mlp,-0.41666666666666674,-0.5833333333333334,0.5417098999023438,0.5824000239372253
mlp,-0.41666666666666674,-0.5,0.5235142707824707,0.6037999987602234
mlp,-0.41666666666666674,-0.41666666666666674,0.5047125220298767,0.6416000127792358
mlp,-0.41666666666666674,-0.33333333333333337,0.4857933819293976,0.6881999969482422
mlp,-0.41666666666666674,-0.25,0.4670964181423187,0.7767999768257141
mlp,-0.41666666666666674,-0.16666666666666674,0.44902417063713074,0.8209999799728394
mlp,-0.41666666666666674,-0.08333333333333337,0.43170365691185,0.8199999928474426
mlp,-0.41666666666666674,0.0,0.4152156412601471,0.8187999725341797
mlp,-0.41666666666666674,0.08333333333333326,0.40008577704429626,0.8199999928474426
mlp,-0.41666666666666674,0.16666666666666652,0.38674116134643555,0.8202000260353088
mlp,-0.41666666666666674,0.25,0.37522685527801514,0.8203999996185303
mlp,-0.41666666666666674,0.33333333333333326,0.3654116094112396,0.8173999786376953
mlp,-0.41666666666666674,0.4166666666666665,0.3574279844760895,0.8159999847412109
mlp,-0.41666666666666674,0.5,0.3518393933773041,0.8137999773025513
mlp,-0.41666666666666674,0.5833333333333333,0.3494361937046051,0.8123999834060669
mlp,-0.41666666666666674,0.6666666666666665,0.3500910699367523,0.8123999834060669
mlp,-0.41666666666666674,0.75,0.35130903124809265,0.8077999949455261
mlp,-0.41666666666666674,0.8333333333333333,0.3521580994129181,0.8050000071525574
mlp,-0.41666666666666674,0.9166666666666665,0.35558852553367615,0.8027999997138977
mlp,-0.41666666666666674,1.0,0.36243823170661926,0.796999990940094
mlp,-0.33333333333333337,-1.0,0.6055247187614441,0.5888000130653381
mlp,-0.33333333333333337,-0.9166666666666666,0.5699599385261536,0.5878000259399414
mlp,-0.33333333333333337,-0.8333333333333334,0.54673832654953,0.5857999920845032
mlp,-0.33333333333333337,-0.75,0.5303974747657776,0.5907999873161316
mlp,-0.33333333333333337,-0.6666666666666667,0.5140940546989441,0.6021999716758728
mlp,-0.33333333333333337,-0.5833333333333334,0.49744418263435364,0.6251999735832214
mlp,-0.33333333333333337,-0.5,0.48089733719825745,0.6711999773979187
mlp,-0.33333333333333337,-0.41666666666666674,0.464995414018631,0.7573999762535095
mlp,-0.33333333333333337,-0.33333333333333337,0.45024681091308594,0.819599986076355
mlp,-0.33333333333333337,-0.25,0.43663981556892395,0.8216000199317932
mlp,-0.33333333333333337,-0.16666666666666674,0.4237200617790222,0.821399986743927
mlp,-0.33333333333333337,-0.08333333333333337,0.4114784598350525,0.8203999996185303
mlp,-0.33333333333333337,0.0,0.39983490109443665,0.8198000192642212
mlp,-0.33333333333333337,0.08333333333333326,0.3888004720211029,0.8212000131607056
mlp,-0.33333333333333337,0.16666666666666652,0.37878188490867615,0.8202000260353088
mlp,-0.33333333333333337,0.25,0.37020042538642883,0.8190000057220459
mlp,-0.33333333333333337,0.33333333333333326,0.36327996850013733,0.8173999786376953
mlp,-0.33333333333333337,0.4166666666666665,0.3585716187953949,0.8162000179290771
mlp,-0.33333333333333337,0.5,0.35687747597694397,0.8137999773025513
mlp,-0.33333333333333337,0.5833333333333333,0.35885170102119446,0.8112000226974487
mlp,-0.33333333333333337,0.6666666666666665,0.36407470703125,0.8104000091552734
mlp,-0.33333333333333337,0.75,0.3695264756679535,0.8082000017166138
mlp,-0.33333333333333337,0.8333333333333333,0.3757220506668091,0.8077999949455261
mlp,-0.33333333333333337,0.9166666666666665,0.3851505219936371,0.8050000071525574
mlp,-0.33333333333333337,1.0,0.397325724363327,0.8011999726295471
mlp,-0.25,-1.0,0.5826076865196228,0.5960000157356262
mlp,-0.25,-0.9166666666666666,0.5408967733383179,0.598800003528595
mlp,-0.25,-0.8333333333333334,0.5126184821128845,0.6007999777793884
mlp,-0.25,-0.75,0.4928526282310486,0.6133999824523926
mlp,-0.25,-0.6666666666666667,0.4759182631969452,0.6381999850273132
mlp,-0.25,-0.5833333333333334,0.4608490467071533,0.6895999908447266
mlp,-0.25,-0.5,0.44753792881965637,0.8001999855041504
mlp,-0.25,-0.41666666666666674,0.4360319972038269,0.8205999732017517
mlp,-0.25,-0.33333333333333337,0.4261752963066101,0.821399986743927
mlp,-0.25,-0.25,0.4170815050601959,0.8217999935150146
mlp,-0.25,-0.16666666666666674,0.4083799719810486,0.8220000267028809
mlp,-0.25,-0.08333333333333337,0.4001323878765106,0.8212000131607056
mlp,-0.25,0.0,0.3921600580215454,0.8209999799728394
mlp,-0.25,0.08333333333333326,0.3845420777797699,0.8208000063896179
mlp,-0.25,0.16666666666666652,0.37747567892074585,0.8191999793052673
mlp,-0.25,0.25,0.37137940526008606,0.8181999921798706
mlp,-0.25,0.33333333333333326,0.3672497272491455,0.8166000247001648
mlp,-0.25,0.4166666666666665,0.3655487298965454,0.8166000247001648
mlp,-0.25,0.5,0.3674543499946594,0.8149999976158142
mlp,-0.25,0.5833333333333333,0.37342995405197144,0.8119999766349792
mlp,-0.25,0.6666666666666665,0.38228926062583923,0.8101999759674072
mlp,-0.25,0.75,0.391816645860672,0.8094000220298767
mlp,-0.25,0.8333333333333333,0.403849333524704,0.8064000010490417
mlp,-0.25,0.9166666666666665,0.41896626353263855,0.8064000010490417
mlp,-0.25,1.0,0.43623998761177063,0.8019999861717224
