method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,comm_mb,accuracy_per_mb,worst_accuracy_per_mb,loss_per_mb,reached_threshold
cvar_0.95,37,28,True,20,0.4109843720992406,0.4821845723523034,0.8185341821776496,0.7681818008422852,123650240,0.8811394283943332,0.5646021431319688,0.7970668012895739,0.7908872901678657,0.8032463124112819,0.7398373983739838,0.23039359393777548,123.65024,0.006619754091683523,0.0062125378878543636,0.003899584605353806,True
cvar_0.95,41,23,True,15,0.39280252655347186,0.5676284597979652,0.8160867691040039,0.7380175590515137,101569840,0.8970572699403889,0.6192399594829484,0.813329355031065,0.8474820143884892,0.7791766956736407,0.4,0.15536074631147032,101.56984,0.008034735203914902,0.007266109300275689,0.005588553253583595,True
cvar_0.95,43,9,True,1,0.4438256124655406,0.5399458184838295,0.8390710022714403,0.7427854537963867,39744720,0.9016373348275647,0.6426288616245447,0.8256471290288636,0.8513189448441247,0.7999753132136024,0.5,0.23433744915222454,39.74472,0.021111508705343507,0.018688908961904543,0.013585347147591667,True
cvar_0.95,47,11,True,3,0.504063743684027,0.5584240191512637,0.8268695672353109,0.7412797808647156,48576880,0.9106973114343185,0.6451640572271955,0.8315814151123093,0.8695443645083932,0.7936184657162254,0.6,0.24702640447340224,48.57688,0.017021874752666512,0.01525992984450042,0.01149567487972187,True
centralized,7,11,True,3,0.27218699372477,0.452254031267431,0.8879653082953559,0.8278585076332092,0,0.9002748255015689,0.61027071100255,0.7831273807097628,0.6729016786570743,0.8933530827624514,0.2,0.15786613710749292,0.0,0.0,0.0,0.0,True
centralized,11,13,True,5,0.2964487257930968,0.3703431048327022,0.8976793421639336,0.8477272987365723,0,0.8969237422504137,0.6008488451317625,0.7728035531212134,0.6321342925659472,0.9134728136764797,0.45528455284552843,0.41671219446198954,0.0,0.0,0.0,0.0,True
centralized,19,12,True,4,0.29433828178379273,0.4415241769618458,0.887220025062561,0.8376500606536865,0,0.888192730392616,0.5819259062991274,0.7737484443106504,0.6517985611510791,0.8956983274702216,0.2,0.14759635986055863,0.0,0.0,0.0,0.0,True
centralized,23,13,True,5,0.3016689485973782,0.3981778464383549,0.8903517259491814,0.8360707759857178,0,0.8956248443200634,0.6107641486068718,0.7855607607970281,0.6752997601918466,0.8958217614022095,0.4,0.19058494562318914,0.0,0.0,0.0,0.0,True
centralized,29,17,True,9,0.29604897896448773,0.5022458541724417,0.8988981776767306,0.8439671397209167,0,0.892311886465647,0.5937871540217423,0.7657988994843747,0.6153477218225419,0.9162500771462075,0.3,0.180796832884097,0.0,0.0,0.0,0.0,True
centralized,31,10,True,2,0.29623128804895615,0.3381901482741038,0.8872669074270461,0.8360707759857178,0,0.9028446785249081,0.6250308383392237,0.7928651191248446,0.6968824940047962,0.8888477442448929,0.2,0.14722445884519847,0.0,0.0,0.0,0.0,True
centralized,37,12,True,4,0.2659486316972309,0.35040292806095547,0.8952633539835612,0.8430196046829224,0,0.9001346673078127,0.6116922287147342,0.7822873639618207,0.6565947242206235,0.907980003703018,0.0,0.17890681003584227,0.0,0.0,0.0,0.0,True
centralized,41,15,True,7,0.3192691488398446,0.48589885069264305,0.8888025416268243,0.8401505351066589,0,0.9015558447520821,0.611306422939089,0.7896374994061407,0.6834532374100719,0.8958217614022095,0.3,0.21190476190476187,0.0,0.0,0.0,0.0,True
centralized,43,11,True,3,0.2618279792368412,0.40342045161459184,0.8839279876814948,0.8291091322898865,0,0.8992006986893358,0.6094641980803636,0.7956837196415798,0.7045563549160672,0.8868110843670926,0.4,0.19379118808876203,0.0,0.0,0.0,0.0,True
centralized,47,15,True,7,0.288267588449849,0.5071127398146523,0.8963940143585205,0.853758692741394,0,0.8931124161955383,0.5998317066586561,0.7718134620243076,0.6302158273381295,0.9134110967104857,0.2,0.20766488413547235,0.0,0.0,0.0,0.0,True
local_only,7,50,False,,,0.0,0.9088932432448679,0.8689197725837018,0,0.8828653964932083,0.4710093124807999,0.6940572233620665,0.4373933821480884,0.9507210645760445,0.1,0.15661463135523482,0.0,0.0,0.0,0.0,True
