lr,local_epochs,clients_per_round,seed,total_comm_bytes,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
0.001,5,5,11,242331200,20,True,5,0.3212430824836095,0.3744132046898206,0.9109896752569411,0.8635502457618713,242331200,0.8778048622017032,0.5878422388532454,0.7468252393086456,0.5563549160671463,0.937295562550145,0.2,0.24001117588545112
0.001,5,5,13,193864960,16,True,1,0.2925328728225496,0.35754221346643233,0.9124383595254686,0.8619709610939026,193864960,0.8701283224485028,0.5907852549577787,0.7491448648154241,0.5601918465227818,0.9380978831080664,0.1,0.20030193385527104
0.001,5,7,7,271410944,16,True,1,0.2956002830631203,0.41777196112606263,0.8956991500324674,0.7870722413063049,271410944,0.8571571922243727,0.5628920715863985,0.7378347201890404,0.5654676258992806,0.9102018144788002,0.2,0.2449074074074074
0.001,5,7,11,271410944,16,True,1,0.29508541689978707,0.3624584227800369,0.9117490980360243,0.8657612204551697,271410944,0.8796764550958751,0.5989961258003658,0.7438973242809197,0.5477218225419664,0.9400728260198729,0.1,0.22996997546458495
0.001,5,7,13,305337312,18,True,3,0.298165178961224,0.35343841711680096,0.9157962534162734,0.869235634803772,305337312,0.8673719569058694,0.5879605469813572,0.7451740218637902,0.5448441247002398,0.9455039190273407,0.2,0.17801818447495732
0.001,5,9,7,414386352,19,True,4,0.2986343585782581,0.3932802089386516,0.9064142770237393,0.8667087554931641,414386352,0.8592466445284802,0.5720494968862853,0.7434096270474826,0.5577937649880096,0.9290254891069555,0.3,0.2717582417582418
0.001,5,9,11,414386352,19,True,4,0.2877519072757827,0.39083234551880097,0.9079443348778619,0.8638660907745361,414386352,0.8531080412470615,0.564659384489725,0.7429441301615254,0.5558752997601919,0.9300129605628588,0.2,0.1737605302849885
0.001,5,9,13,436196160,20,True,5,0.3259373704592387,0.3848211732175615,0.9090064631568061,0.8619709610939026,436196160,0.8662951364514758,0.5828704475399976,0.7412576141641769,0.5467625899280576,0.9357526384002962,0.1,0.2509703288294602
0.001,5,9,7,414386352,19,True,4,0.30896364317999947,0.40138650519980323,0.9060644176271226,0.8662484288215637,414386352,0.8668904905699584,0.5808155996183463,0.7438416458094402,0.5577937649880096,0.9298895266308709,0.2,0.15687784679089029
0.001,5,9,11,414386352,19,True,4,0.2877519072757827,0.39083234551880097,0.9079443348778619,0.8638660907745361,414386352,0.8531080412470615,0.564659384489725,0.7429441301615254,0.5558752997601919,0.9300129605628588,0.2,0.1737605302849885
0.001,5,9,13,436196160,20,True,5,0.3259373704592387,0.3848211732175615,0.9090064631568061,0.8619709610939026,436196160,0.8662951364514758,0.5828704475399976,0.7412576141641769,0.5467625899280576,0.9357526384002962,0.1,0.2509703288294602
0.005,2,3,7,319877184,44,True,29,0.2813853041993247,0.3875526173247231,0.8896266089545356,0.8245922327041626,319877184,0.8813815897846434,0.621821766782229,0.7876625564943343,0.6834532374100719,0.8918718755785966,0.1,0.109165304947104
0.005,2,3,11,218098080,30,True,15,0.2815642191304101,0.42785125970840454,0.8722908827993605,0.8159090876579285,218098080,0.878452831143713,0.6279092455637769,0.801751918221024,0.7304556354916067,0.8730482009504412,0.5,0.2629761904761905
0.005,2,3,13,189018336,26,True,11,0.2890632251898448,0.6069818213582039,0.8067642350991567,0.34877291321754456,189018336,0.8378559585214629,0.48887864366193845,0.7491267049311856,0.7333333333333333,0.7649200765290378,0.1,0.22272619907547356
0.005,2,5,7,581594880,48,True,33,0.285397931933403,0.31673647463321686,0.9108599887953864,0.8619824051856995,581594880,0.8614386476377129,0.5937624872379302,0.7490998869114299,0.5611510791366906,0.9370486946861692,0.1,0.09121522902165785
0.005,2,5,11,363496800,30,True,15,0.2981831795639462,0.3201890157328712,0.89881298939387,0.8471257090568542,363496800,0.8819632536888466,0.6134845403725665,0.7748718706945201,0.6383693045563549,0.9113744368326853,0.2,0.19083786583786583
0.005,2,5,13,617944560,51,True,36,0.3016889128420088,0.37261032892598045,0.8948229683770074,0.8393977284431458,617944560,0.86754384679629,0.5732369688934787,0.7690273184155878,0.6350119904076739,0.9030426464235018,0.1,0.13810870091624636
0.005,2,7,7,644600992,38,True,23,0.2967906693617503,0.30264223780896926,0.9147393504778544,0.8604767918586731,644600992,0.8409070262767752,0.5717683075450487,0.736393695634124,0.5270983213429257,0.9456890699253224,0.0,0.07997040141252665
0.005,2,7,11,356226864,21,True,6,0.3144013144903713,0.39999440643522477,0.8676276008288065,0.7404078841209412,356226864,0.8745148891070443,0.6005529377440997,0.7779322329953109,0.6988009592326139,0.8570635067580078,0.3,0.19926543180578304
0.005,2,7,13,542821888,32,True,23,0.3079101476404402,0.3121196726957957,0.9075278772248162,0.8562855124473572,542821888,0.8834737653313749,0.6091126224454685,0.7692524299390334,0.6134292565947242,0.9250756032833426,0.1,0.1568253968253968
0.005,2,9,7,567055008,26,True,11,0.32197344303131104,0.34697774549325305,0.9008125000529819,0.8370183110237122,567055008,0.8716695149712482,0.5954623905461787,0.7697856822854992,0.6254196642685851,0.9141517003024131,0.1,0.2189250700280112
0.005,2,9,11,981441360,45,True,30,0.3042249878247579,0.33078448805544114,0.9106336103545295,0.8572145700454712,981441360,0.8415085816923208,0.5763571151736403,0.7552951602798488,0.5784172661870504,0.9321730543726471,0.2,0.12190476190476193
0.005,2,9,13,719723664,33,True,18,0.3111297521326277,0.388399170504676,0.8891435861587524,0.8427037000656128,719723664,0.8476281222753698,0.5770279171830677,0.7651938068134643,0.6354916067146283,0.8948960069123002,0.2,0.13513124199743917
0.005,2,9,7,1090490400,50,True,35,0.3171515531010098,0.36447710626655155,0.9004618989096748,0.829437792301178,1090490400,0.8653307385567199,0.5803774836865359,0.7576718406796503,0.6014388489208633,0.9139048324384373,0.1,0.11341259315397245
0.005,2,9,11,1046870784,48,True,33,0.31008295549286735,0.40589068002170986,0.8997810482978821,0.824843168258667,1046870784,0.8628286261936573,0.5764567274812804,0.7727143965257344,0.6402877697841727,0.9051410232672962,0.2,0.21828587672885919
