method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,delta_accuracy,delta_worst_client_accuracy,delta_comm
cvar_0.75,31,187,True,166,0.08553109667263925,0.08677602068831523,0.967532604932785,0.8815789222717285,1205506720,-0.0012129008769988792,-0.007309973239898682,-58019040.0
cvar_0.75,37,226,True,216,0.07605753138195723,0.20252996725030242,0.9362803936004639,0.8024691343307495,1456922560,-0.023026492198308324,-0.04938274621963501,0.0
cvar_0.75,41,320,True,305,0.06893268603210648,0.07145482106910397,0.9766005237897237,0.9166666865348816,2062899200,0.003459346294403143,0.010416686534881592,431919520.0
cvar_0.75,43,253,True,239,0.07455618508004894,0.07566377857389549,0.9734761516253153,0.9078947305679321,1630979680,0.0005003949006398001,0.013157904148101807,122484640.0
cvar_0.75,47,229,True,213,0.07803585414464274,0.08089372897520661,0.9715948502222697,0.8815789222717285,1476262240,-0.0007916470368704021,-0.0238264799118042,0.0
cvar_0.9,7,186,True,156,0.08718975187900166,0.08922262163832784,0.9653504769007365,0.790123462677002,1199060160,-0.0037890394528706794,-0.09876543283462524,6446560.0
cvar_0.9,11,203,True,198,0.0830085022530208,0.092228793236427,0.9688483436902364,0.8684210777282715,1308651680,-0.0004226267337799072,-0.013157844543457031,-167610560.0
cvar_0.9,19,261,True,243,0.07293007541447878,0.08060736629801492,0.9726323008537292,0.8815789222717285,1682552160,0.0002717117468515884,-0.026315808296203613,-109591520.0
cvar_0.9,23,197,True,170,0.0839693528910478,0.08706717933528126,0.9682336409886678,0.8765432238578796,1269972320,-0.001958260933558109,-0.005035698413848877,-19339680.0
cvar_0.9,29,315,True,285,0.07076370306313037,0.07155774886875103,0.9764333724975586,0.9078947305679321,2030666400,0.006869924068450883,0.002489328384399414,522171360.0
cvar_0.9,31,243,True,237,0.07955264031576613,0.08135454735408226,0.9701708873112996,0.8947368264198303,1566514080,0.0014253815015157212,0.005847930908203125,302988320.0
cvar_0.9,37,257,True,227,0.07293577317614108,0.07499007247388363,0.9739461024602254,0.9135802388191223,1656765920,0.01463921666145318,0.06172835826873779,199843360.0
cvar_0.9,41,289,True,289,0.07080955380030597,0.07080955380030597,0.9744825224081676,0.9270833134651184,1863055840,0.0013413449128469868,0.020833313465118408,232076160.0
cvar_0.9,43,334,True,310,0.06911708568610872,0.06922159025950046,0.9737870275974274,0.9014084339141846,2153151040,0.0008112708727519014,0.006671607494354248,644656000.0
cvar_0.9,47,131,True,126,0.10123290320237478,0.10464005732598404,0.9628090103467305,0.8024691343307495,844499360,-0.00957748691240956,-0.1029362678527832,-631762880.0
cvar_0.95,7,186,True,156,0.08378263403040667,0.08514102017506957,0.9668081839879353,0.8148148059844971,1199060160,-0.0023313323656718454,-0.07407408952713013,6446560.0
cvar_0.95,11,203,True,198,0.0830085022530208,0.092228793236427,0.9688483436902364,0.8684210777282715,1308651680,-0.0004226267337799072,-0.013157844543457031,-167610560.0
cvar_0.95,19,261,True,243,0.07293007541447878,0.08060736629801492,0.9726323008537292,0.8815789222717285,1682552160,0.0002717117468515884,-0.026315808296203613,-109591520.0
cvar_0.95,23,197,True,170,0.0839693528910478,0.08706717933528126,0.9682336409886678,0.8765432238578796,1269972320,-0.001958260933558109,-0.005035698413848877,-19339680.0
cvar_0.95,29,315,True,285,0.07076370306313037,0.07155774886875103,0.9764333724975586,0.9078947305679321,2030666400,0.006869924068450883,0.002489328384399414,522171360.0
cvar_0.95,31,243,True,237,0.07955264031576613,0.08135454735408226,0.9701708873112996,0.8947368264198303,1566514080,0.0014253815015157212,0.005847930908203125,302988320.0
cvar_0.95,37,257,True,227,0.07293577317614108,0.07499007247388363,0.9739461024602254,0.9135802388191223,1656765920,0.01463921666145318,0.06172835826873779,199843360.0
cvar_0.95,41,289,True,289,0.07080955380030597,0.07080955380030597,0.9744825224081676,0.9270833134651184,1863055840,0.0013413449128469868,0.020833313465118408,232076160.0
